ticker,freq_per_bar,psd
AAPL,0.0,6.497129987061491e-05
AAPL,0.00390625,0.0002506546396402683
AAPL,0.0078125,0.0002554343825972746
AAPL,0.01171875,0.00013558554758690258
AAPL,0.015625,9.555332921473899e-05
AAPL,0.01953125,7.96804628686472e-05
AAPL,0.0234375,5.143447327614935e-05
AAPL,0.02734375,4.2559083053595106e-05
AAPL,0.03125,5.378767276693517e-05
AAPL,0.03515625,5.644678281530764e-05
AAPL,0.0390625,5.0147670357870674e-05
AAPL,0.04296875,4.300239853117396e-05
AAPL,0.046875,2.2779882457571524e-05
AAPL,0.05078125,3.4867520565462817e-05
AAPL,0.0546875,7.075612455442046e-05
AAPL,0.05859375,6.430899412463905e-05
AAPL,0.0625,4.679606968045148e-05
AAPL,0.06640625,4.014588410591434e-05
AAPL,0.0703125,3.513234146737994e-05
AAPL,0.07421875,3.585684140936971e-05
AAPL,0.078125,3.381086143423613e-05
AAPL,0.08203125,3.3353002008066765e-05
AAPL,0.0859375,4.853063623424443e-05
AAPL,0.08984375,5.688619740376283e-05
AAPL,0.09375,4.980693247635138e-05
AAPL,0.09765625,3.9977501623505016e-05
AAPL,0.1015625,4.6096628994937956e-05
AAPL,0.10546875,3.961555990669339e-05
AAPL,0.109375,3.273823541734284e-05
AAPL,0.11328125,3.549354672313611e-05
AAPL,0.1171875,4.052772407030079e-05
AAPL,0.12109375,5.105221240803181e-05
AAPL,0.125,5.234994824915513e-05
AAPL,0.12890625,7.236708488325591e-05
AAPL,0.1328125,7.631338304878507e-05
AAPL,0.13671875,8.61020915806842e-05
AAPL,0.140625,0.0003012172133766773
AAPL,0.14453125,0.000340529137455774
AAPL,0.1484375,7.90891008493764e-05
AAPL,0.15234375,3.375540603469343e-05
AAPL,0.15625,4.406838526089513e-05
AAPL,0.16015625,4.874401130540288e-05
AAPL,0.1640625,4.547868159864517e-05
AAPL,0.16796875,4.68464212595292e-05
AAPL,0.171875,3.720162725896055e-05
AAPL,0.17578125,4.271657504846787e-05
AAPL,0.1796875,3.3257605368391724e-05
AAPL,0.18359375,3.443845491902782e-05
AAPL,0.1875,3.3996375156538563e-05
AAPL,0.19140625,3.9053079931224996e-05
AAPL,0.1953125,3.405060821212634e-05
AAPL,0.19921875,4.1275033096308504e-05
AAPL,0.203125,3.805023751561815e-05
AAPL,0.20703125,3.7670061144326646e-05
AAPL,0.2109375,3.0019760819865593e-05
AAPL,0.21484375,2.5683647994846754e-05
AAPL,0.21875,2.5663543547399782e-05
AAPL,0.22265625,3.1069296550592646e-05
AAPL,0.2265625,2.9274735345441468e-05
AAPL,0.23046875,3.4939152657906314e-05
AAPL,0.234375,3.034152333531607e-05
AAPL,0.23828125,2.5015148684623716e-05
AAPL,0.2421875,3.0327978426164097e-05
AAPL,0.24609375,3.8616716368382614e-05
AAPL,0.25,4.284064952414703e-05
AAPL,0.25390625,5.365094598358818e-05
AAPL,0.2578125,4.1747639253821195e-05
AAPL,0.26171875,3.790530849676427e-05
AAPL,0.265625,3.163035929103444e-05
AAPL,0.26953125,3.2953890931828754e-05
AAPL,0.2734375,3.951902728438243e-05
AAPL,0.27734375,4.6037178643674994e-05
AAPL,0.28125,0.00011179763144948501
AAPL,0.28515625,0.00033858342020607837
AAPL,0.2890625,0.0001877595665551397
AAPL,0.29296875,5.60851880600116e-05
AAPL,0.296875,5.878621239221991e-05
AAPL,0.30078125,6.110576791310496e-05
AAPL,0.3046875,4.778321518048901e-05
AAPL,0.30859375,4.436159722797368e-05
AAPL,0.3125,2.936395489261788e-05
AAPL,0.31640625,3.692915845883453e-05
AAPL,0.3203125,4.001555894683533e-05
AAPL,0.32421875,6.288544844348503e-05
AAPL,0.328125,5.439182317187462e-05
AAPL,0.33203125,4.852882203224831e-05
AAPL,0.3359375,4.591285355081057e-05
AAPL,0.33984375,4.3671411052025245e-05
AAPL,0.34375,3.503029550310368e-05
AAPL,0.34765625,3.2419400896855395e-05
AAPL,0.3515625,3.523671192591824e-05
AAPL,0.35546875,2.155221477666133e-05
AAPL,0.359375,2.0213629583285263e-05
AAPL,0.36328125,3.140347635332127e-05
AAPL,0.3671875,2.2824431821260234e-05
AAPL,0.37109375,2.971466303162864e-05
AAPL,0.375,2.9822162018447e-05
AAPL,0.37890625,2.5086841440167075e-05
AAPL,0.3828125,3.491505334188515e-05
AAPL,0.38671875,4.215636466485681e-05
AAPL,0.390625,3.555699220463312e-05
AAPL,0.39453125,4.289411389277938e-05
AAPL,0.3984375,4.489630840791016e-05
AAPL,0.40234375,3.4572368758481216e-05
AAPL,0.40625,3.87037873875673e-05
AAPL,0.41015625,5.040051632858203e-05
AAPL,0.4140625,7.386695203301805e-05
AAPL,0.41796875,7.16391959798844e-05
AAPL,0.421875,7.063763773630775e-05
AAPL,0.42578125,0.00017782977505657755
AAPL,0.4296875,0.000237048394457002
AAPL,0.43359375,7.591839605502813e-05
AAPL,0.4375,3.873786938802219e-05
AAPL,0.44140625,3.454025265151851e-05
AAPL,0.4453125,3.503385171305944e-05
AAPL,0.44921875,3.745343605931897e-05
AAPL,0.453125,5.1603884514212274e-05
AAPL,0.45703125,5.7571723521137264e-05
AAPL,0.4609375,6.293930139006316e-05
AAPL,0.46484375,4.9494914095685454e-05
AAPL,0.46875,4.435907203764708e-05
AAPL,0.47265625,2.5200744925829544e-05
AAPL,0.4765625,2.64120115980931e-05
AAPL,0.48046875,3.8450550692930214e-05
AAPL,0.484375,4.572998188534395e-05
AAPL,0.48828125,4.491682288155648e-05
AAPL,0.4921875,4.244444396896322e-05
AAPL,0.49609375,3.381835614271826e-05
AAPL,0.5,1.1699171479924238e-05
AMD,0.0,0.0001274618357948053
AMD,0.00390625,0.000531468936263359
AMD,0.0078125,0.0005286618497323331
AMD,0.01171875,0.00036766469092717736
AMD,0.015625,0.00034640502786732356
AMD,0.01953125,0.0002200128970458834
AMD,0.0234375,0.00022926491534413658
AMD,0.02734375,0.00023845591322740165
AMD,0.03125,0.00025660688553322036
AMD,0.03515625,0.00020312729581667605
AMD,0.0390625,0.00015453678400309867
AMD,0.04296875,0.00015540574566015497
AMD,0.046875,0.00016695077414455436
AMD,0.05078125,0.0001754872666004885
AMD,0.0546875,0.00019789341187178376
AMD,0.05859375,0.0002578961131304025
AMD,0.0625,0.0002851933564028649
AMD,0.06640625,0.00021536484681821405
AMD,0.0703125,0.00014997644337544068
AMD,0.07421875,0.00016233948457584612
AMD,0.078125,0.00017443858214526487
AMD,0.08203125,0.00020072552381750075
AMD,0.0859375,0.00017883096173632168
AMD,0.08984375,0.0001334980233974385
AMD,0.09375,0.0001029933480720053
AMD,0.09765625,0.00013970307802523103
AMD,0.1015625,0.0002014543912203258
AMD,0.10546875,0.00015347410500813466
AMD,0.109375,0.0001936001371612134
AMD,0.11328125,0.00019731102898923458
AMD,0.1171875,0.0002464376227713397
AMD,0.12109375,0.00020243581954512542
AMD,0.125,0.0001845432385957794
AMD,0.12890625,0.00020315863805984332
AMD,0.1328125,0.0002124234934900018
AMD,0.13671875,0.00037190187017237323
AMD,0.140625,0.0013263208527839855
AMD,0.14453125,0.0014813557556309597
AMD,0.1484375,0.0004604867112696382
AMD,0.15234375,0.00018428740604107958
AMD,0.15625,0.00019884635957312323
AMD,0.16015625,0.00018536806888101257
AMD,0.1640625,0.0002751345360575021
AMD,0.16796875,0.00029445011926413966
AMD,0.171875,0.00020149080671015855
AMD,0.17578125,0.00017935079208955722
AMD,0.1796875,0.00013032995135310932
AMD,0.18359375,0.00015255375389900295
