,return
2011-11-30,0.05678358702570899
2011-12-31,0.050863258892169874
2012-01-31,-0.14491241332396582
2012-02-29,-0.061371195540547846
2012-03-31,-0.003617506297358332
2012-04-30,0.02661612779487467
2012-05-31,0.006836194779491642
2012-06-30,-0.011590089161676476
2012-07-31,0.050291572477537246
2012-08-31,-0.040401282105669116
2012-09-30,0.017207970383339155
2012-10-31,0.029599738015322632
2012-11-30,-0.022841022335296716
2012-12-31,0.02826530400966521
2013-01-31,0.046280734399429126
2013-02-28,0.00736678922328763
2013-03-31,-0.012962023418297892
2013-04-30,-0.014586904279871669
2013-05-31,-0.013384842663374086
2013-06-30,-0.016900518670794777
2013-07-31,0.02059735026223724
2013-08-31,0.0027765849291609135
2013-09-30,0.03443940914440644
2013-10-31,-0.006650639372214155
2013-11-30,0.0029862412871768593
2013-12-31,0.005582269082219843
2014-01-31,-0.02498248003626217
2014-02-28,0.012619205075607876
2014-03-31,-0.01859512338024852
2014-04-30,-0.011241968491801917
2014-05-31,-0.011198625758965231
2014-06-30,-0.002911541140747466
2014-07-31,-0.01626529414729276
2014-08-31,-0.01049056561216816
2014-09-30,-0.005153207127613855
2014-10-31,0.02077350844236337
2014-11-30,0.009011914633920384
2014-12-31,0.015531931366188197
2015-01-31,0.03420364615655329
2015-02-28,-0.046552113377676146
2015-03-31,0.007948325858512838
2015-04-30,-0.050462442301352314
2015-05-31,0.01786507716155642
2015-06-30,0.02454548076199
2015-07-31,0.04558763375923807
2015-08-31,0.0016914231978391314
2015-09-30,0.011689494417417685
2015-10-31,0.02536955172682072
2015-11-30,0.011486212236106446
2015-12-31,0.01422934534087049
2016-01-31,-0.006077758228743013
2016-02-29,-0.04792570453288035
2016-03-31,0.020122292009362386
2016-04-30,-0.05943909580399648
2016-05-31,-0.00551916853945162
2016-06-30,0.07142048367943127
2016-07-31,-0.006364767903098825
2016-08-31,-0.04754880070582602
2016-09-30,0.0006875052456075544
2016-10-31,-0.020739179598150807
2016-11-30,0.053519368727519875
2016-12-31,-0.008997338751095318
2017-01-31,-0.035739703256237466
2017-02-28,-0.012805228730549366
2017-03-31,-0.01605535523901174
2017-04-30,-0.012940122287401885
2017-05-31,0.019885739414067967
2017-06-30,-0.03902025742409622
2017-07-31,0.017639225248327357
2017-08-31,0.0004158154404892609
2017-09-30,-0.02543323816329801
2017-10-31,0.03731216825967408
2017-11-30,0.0023634279472290326
2017-12-31,-0.007814084783949935
2018-01-31,-0.015035052946168123
2018-02-28,0.00555610316075842
2018-03-31,-0.004183395100413347
2018-04-30,0.038019438617781995
2018-05-31,0.03205369443133798
2018-06-30,0.008778570204232056
2018-07-31,-0.05794855464723539
2018-08-31,0.02661329147611149
2018-09-30,0.013106014352909246
2018-10-31,-0.03380348718428573
2018-11-30,0.03180473992651475
2018-12-31,0.059904582554188665
2019-01-31,-0.07019405640542901
2019-02-28,-0.014691794432408471
2019-03-31,-0.005408475998010483
2019-04-30,-0.03357918385594872
2019-05-31,0.050493223836816994
2019-06-30,-0.008657070013669867
2019-07-31,0.00011767814918374475
2019-08-31,0.012211260317150844
2019-09-30,0.007381753719060543
2019-10-31,-0.054288638543356985
2019-11-30,-0.02291520598686983
2019-12-31,0.0057376817642605035
2020-01-31,-0.02330256952833328
2020-02-29,-0.004609397226310694
2020-03-31,0.09066282404999057
2020-04-30,-0.019579348932117546
2020-05-31,0.006145178429466887
2020-06-30,0.007184435651116795
2020-07-31,0.018112971060725118
2020-08-31,0.07015731635174934
2020-09-30,0.014460420424788185
2020-10-31,-0.01703032114508961
2020-11-30,-0.055745272655224914
2020-12-31,-0.03528581540738048
2021-01-31,-0.07023822972344693
2021-02-28,0.07213083773178784
2021-03-31,-0.03296193188469537
2021-04-30,0.00749230062804402
2021-05-31,0.0208770868674412
2021-06-30,-0.08482874130493834
2021-07-31,-0.030566356950976203
2021-08-31,0.0026278161012281594
2021-09-30,-0.0058017852585277516
2021-10-31,0.0009116686563555507
2021-11-30,-0.010638061095056321
2021-12-31,-0.043431406580537554
2022-01-31,-0.05643172344281594
2022-02-28,0.013167401562425044
2022-03-31,0.0430060311742633
2022-04-30,0.11249183509456234
2022-05-31,-0.009396778394063561
2022-06-30,0.029166659080028898
2022-07-31,-0.14819852495675115
2022-08-31,0.016451706575483078
2022-09-30,0.009502649955554235
2022-10-31,0.06326016912343593
2022-11-30,-0.038010412660609755
2022-12-31,0.048423179716536424
2023-01-31,-0.03464181628143287
2023-02-28,0.0005572051516870916
2023-03-31,-0.010783394178727496
2023-04-30,-0.014075708187290106
2023-05-31,0.07693812111798619
2023-06-30,0.01297261072456081
2023-07-31,-0.011513750980498044
2023-08-31,0.019553381517821586
2023-09-30,-0.024133021351138914
2023-10-31,-0.0420477189464667
2023-11-30,0.07799459356582324
2023-12-31,-0.015964542586628133
2024-01-31,0.022951743948941804
2024-02-29,0.0194382127105784
2024-03-31,-0.012159166007026104
2024-04-30,0.0012296434703816944
2024-05-31,0.03446164663378131
2024-06-30,-0.06055255159505473
2024-07-31,0.01618632311544256
2024-08-31,0.016705193892824557
2024-09-30,0.00012219249588802349
2024-10-31,0.006152848574103882
2024-11-30,0.02090055759149697
2024-12-31,-0.013714265637597152
2025-01-31,0.028008228716535723
2025-02-28,0.014938409077597664
2025-03-31,0.032651877645837296
2025-04-30,-0.009002235536618906
2025-05-31,-0.059388405466283406
2025-06-30,-0.042170042416021104
2025-07-31,-0.03964815599670257
2025-08-31,-0.05863799869451227
2025-09-30,0.013964260184167656
2025-10-31,0.0369822259220105
2025-11-30,-0.0037619780926688336
2025-12-31,-0.03443631411101072
2026-01-31,0.0653640359101698
2026-02-28,0.06284261114553015
2026-03-31,0.012128132482934983
2026-04-30,0.009473134027657185
2026-05-31,-0.0037047609584227453
2026-06-30,-0.022972667171511585
2026-07-31,-0.1193301881801573
2026-08-31,-0.0410731816751991
