,return
2011-11-30,0.040231903854951685
2011-12-31,0.049831501033527376
2012-01-31,-0.13122922852204955
2012-02-29,-0.027793818028232206
2012-03-31,0.017787004802179582
2012-04-30,-3.7237378669025684e-05
2012-05-31,0.01195722368849099
2012-06-30,0.01880221796795331
2012-07-31,0.05593531300807812
2012-08-31,-0.04861264149294501
2012-09-30,0.034350366893795684
2012-10-31,-0.006394536583013561
2012-11-30,-0.032374744263434674
2012-12-31,0.006050977516674544
2013-01-31,0.06295818055090964
2013-02-28,-0.000616405547501829
2013-03-31,-0.012256969570278681
2013-04-30,-0.005758463836688141
2013-05-31,-7.267753451580677e-05
2013-06-30,0.0009331515663337613
2013-07-31,-0.01658222419169353
2013-08-31,-0.0011868138588110345
2013-09-30,0.028249840758523045
2013-10-31,-0.001783945429713503
2013-11-30,-0.010564883075915282
2013-12-31,0.009466982393457158
2014-01-31,-0.019813475167307294
2014-02-28,0.0035388333406213973
2014-03-31,-0.02321477454563352
2014-04-30,0.022197406390573746
2014-05-31,-0.045689324129688125
2014-06-30,-0.014519520093082022
2014-07-31,-0.01038257559077841
2014-08-31,0.00084538014989885
2014-09-30,-0.00028087610766658246
2014-10-31,0.017473974488022126
2014-11-30,-0.001464982147865397
2014-12-31,0.0036535066623742847
2015-01-31,-0.032549665497414226
2015-02-28,-0.02117541107823242
2015-03-31,0.004120564964247189
2015-04-30,-0.057753673141751144
2015-05-31,0.002854840520374966
2015-06-30,0.014260736387406731
2015-07-31,0.037643157599475965
2015-08-31,-0.0016907766841290084
2015-09-30,0.027726893859486575
2015-10-31,0.0033747140009876553
2015-11-30,0.018114817029059174
2015-12-31,-0.004046570218606549
2016-01-31,0.03362808000772016
2016-02-29,-0.02558551251672736
2016-03-31,0.0010235299097859224
2016-04-30,-0.030493047543418587
2016-05-31,-0.011396437599935002
2016-06-30,0.005810546100631057
2016-07-31,-0.04120842337943903
2016-08-31,-0.028789130778469722
2016-09-30,0.0024936043363489677
2016-10-31,-0.0020475469985030952
2016-11-30,0.024204155088665868
2016-12-31,-0.008498515307003879
2017-01-31,-0.03282953787966373
2017-02-28,-0.01471411309880142
2017-03-31,-0.015771287949030065
2017-04-30,0.0017303353411932433
2017-05-31,0.023775888956798222
2017-06-30,-0.05025765808425259
2017-07-31,0.0047801662659566375
2017-08-31,0.0029988381618397423
2017-09-30,-0.04218067639885291
2017-10-31,0.04285174409230311
2017-11-30,-0.015219979479921014
2017-12-31,0.02426452802809577
2018-01-31,-0.008809826900087109
2018-02-28,0.025175642922389496
2018-03-31,-0.01620436654968785
2018-04-30,-0.007163635731569244
2018-05-31,0.02103574179191001
2018-06-30,0.026870221924243008
2018-07-31,-0.035240767367407805
2018-08-31,-0.031205475742100076
2018-09-30,0.01888230860923201
2018-10-31,-0.03747569767199787
2018-11-30,-0.008740230828821053
2018-12-31,0.06445570393739924
2019-01-31,-0.08554505575846935
2019-02-28,0.008690230211955866
2019-03-31,0.011465725997904973
2019-04-30,-0.04281325196986652
2019-05-31,0.028613583618368715
2019-06-30,-0.030913716076164825
2019-07-31,-0.0009448769031309302
2019-08-31,-0.021447718553332062
2019-09-30,-0.0015565562566163382
2019-10-31,-0.0172241586645085
2019-11-30,0.016580799659432266
2019-12-31,0.011843025949129461
2020-01-31,-0.031110026980794892
2020-02-29,0.004361273237230109
2020-03-31,0.1446142479470414
2020-04-30,-0.010829858389308791
2020-05-31,-0.0035940252928650454
2020-06-30,-0.003311611996373965
2020-07-31,0.035899649560583884
2020-08-31,0.07887921312710433
2020-09-30,0.026314294017113764
2020-10-31,0.039320995275780604
2020-11-30,0.028929553497949984
2020-12-31,-0.019197946872042987
2021-01-31,-0.023029992616496568
2021-02-28,0.06872301763646514
2021-03-31,-0.025083314537294177
2021-04-30,-0.015929946647791328
2021-05-31,0.004811409270041433
2021-06-30,-0.04800318860735301
2021-07-31,0.004778168470264304
2021-08-31,0.01595675461183695
2021-09-30,-0.003484993038278268
2021-10-31,0.0248927665450814
2021-11-30,0.04483691075392063
2021-12-31,-0.03939764308204469
2022-01-31,-0.03769162679744347
2022-02-28,0.03664794008791785
2022-03-31,0.025595788934644367
2022-04-30,0.08404436976823182
2022-05-31,0.0009642374986446427
2022-06-30,-0.023101627419101725
2022-07-31,-0.11245944109430359
2022-08-31,-0.00692024394931684
2022-09-30,0.006630521828246111
2022-10-31,0.044519602387469964
2022-11-30,-0.03700326678130647
2022-12-31,0.02409237494110436
2023-01-31,-0.04230892615855761
2023-02-28,0.018853584397971725
2023-03-31,-0.03577627119044719
2023-04-30,-0.00700618835875592
2023-05-31,0.022969807772356285
2023-06-30,-0.016975053066694903
2023-07-31,-0.017823790997462292
2023-08-31,-0.005234996474041662
2023-09-30,-0.017560658141053814
2023-10-31,-0.023929072771968984
2023-11-30,0.027090796011428553
2023-12-31,0.020720172440090397
2024-01-31,-0.008365785785753903
2024-02-29,-0.004382510144158556
2024-03-31,0.009643329081342293
2024-04-30,0.0070306820988456226
2024-05-31,0.04477682589967505
2024-06-30,-0.05251544904701551
2024-07-31,-0.01578593136271353
2024-08-31,0.020097663513517
2024-09-30,-0.029507809688793962
2024-10-31,0.0031457791175205276
2024-11-30,0.04954816954486336
2024-12-31,-0.018464193826359145
2025-01-31,0.01622538897113235
2025-02-28,-0.02825910174910779
2025-03-31,0.042519590547786056
2025-04-30,0.00599970120539944
2025-05-31,-0.009324740240614717
2025-06-30,-0.021859331544571252
2025-07-31,0.04804076061106216
2025-08-31,-0.051178798675095755
2025-09-30,0.012279329334414458
2025-10-31,0.0535893736191424
2025-11-30,0.00897606053502516
2025-12-31,-0.040209933682497326
2026-01-31,0.02946870595510534
2026-02-28,0.09625785337354847
2026-03-31,-0.005844928042438833
2026-04-30,-0.0034951370746192367
2026-05-31,-0.005726853830647194
2026-06-30,-0.09671853042340478
2026-07-31,-0.11969675648069833
2026-08-31,-0.0018859686083367092
