,ann_return,ann_vol,sharpe,max_drawdown,hit_rate,n_periods,turnover,cost_bps_per_side
momentum_12_1,0.013662905083264586,0.18450897582409634,0.07405008359208641,-0.5156568186640884,0.5506072874493927,247.0,0.24151788086508316,10.0
fracdiff_z,-0.038170449443081726,0.12273304658256082,-0.311003845385725,-0.534998611961254,0.43258426966292135,178.0,0.606873822975518,10.0
combined,-0.02969019273628129,0.13240539560603262,-0.22423703052572996,-0.4915561637922419,0.48314606741573035,178.0,0.3720043572984749,10.0
