,return
2007-01-31,-0.00924134156565121
2007-02-28,-0.02075695727973355
2007-04-30,0.0286629813396242
2007-06-30,0.019718882164895566
2007-07-31,-0.007475151889605909
2007-08-31,-0.0004255552497131575
2007-09-30,-0.004250159609738451
2007-10-31,0.017054074206613284
2007-11-30,-0.05795803243100813
2007-12-31,0.01079990431042278
2008-01-31,-0.08087982673313812
2008-02-29,-0.009498379140608366
2008-03-31,-0.029710754359815864
2008-05-31,0.08473695424729563
2008-06-30,0.06961294647189321
2008-07-31,-0.03671642061193504
2008-08-31,0.04468544692067459
2008-09-30,0.08977721945282796
2008-10-31,0.0285909488431213
2008-11-30,-0.006371017437395099
2008-12-31,0.06072499214680553
2009-01-31,0.10949658680867347
2009-02-28,0.08634550638657909
2009-04-30,-0.021486686288277074
2009-05-31,-0.027229466376097307
2009-07-31,0.011603259493252048
2009-08-31,0.06281611171552386
2009-09-30,0.024720051585553154
2009-10-31,-0.004545063667022512
2009-11-30,0.05255584325579451
2009-12-31,0.04314333252617537
2010-01-31,0.00905110114873028
2010-02-28,0.03765933313195379
2010-04-30,0.030216362180656757
2010-05-31,0.034954056731723006
2010-07-31,0.014530116140229546
2010-08-31,-0.0036622275335638638
2010-09-30,0.0418626925361463
2010-10-31,0.005316553625296899
2010-11-30,-0.0009875116625681305
2010-12-31,0.04037541974815495
2011-01-31,-0.0020486164981333432
2011-02-28,0.005397408110113546
2011-04-30,0.0072309941523358255
2011-05-31,-0.04493377285073927
2011-06-30,-0.006856156385432157
2011-07-31,-0.022519731151644237
2011-08-31,-0.027665204086133807
2011-09-30,0.0476993436118328
2011-10-31,-0.050492629437198164
2011-11-30,0.031919114469126625
2011-12-31,-0.01914668576929558
2012-01-31,-0.054056071475268856
2012-02-29,0.011362020499266462
2012-03-31,-0.0021158216453759926
2012-04-30,-0.002029950530666318
2012-05-31,-0.009162806108756208
2012-06-30,0.006422688514241888
2012-07-31,-0.015774154335466035
2012-08-31,0.014244694184169251
2012-09-30,0.015458235782081912
2012-10-31,0.04090640307495673
2012-11-30,-0.0010445267788109667
2012-12-31,0.006204173101153223
2013-01-31,0.05247194138640658
2013-02-28,-0.002190793337733239
2013-04-30,-0.004526903347802237
2013-05-31,0.03783651991290581
2013-06-30,-0.008751792395588705
2013-07-31,0.026493644217340552
2013-08-31,0.0071146990889002434
2013-09-30,-0.005311427073266969
2013-11-30,-0.0020996536655588163
2013-12-31,-0.004296094929559423
2014-01-31,0.017818717694135507
