ticker,asset_class,H_dfa,H_rs_implied,rs_rejects_null,ann_vol,n_days
XLV,us_sector_health,0.4426032677799329,0.526962114974463,False,0.174197433624618,4601
XLP,us_sector_staples,0.4426547702350937,0.5226595006917958,False,0.1472640947878961,4601
XLU,us_sector_utility,0.44898367839555586,0.4944070867484282,False,0.19193903073905574,4601
GLD,commodity_gold,0.45623946752283895,0.5535666650287023,False,0.18050162228781128,4601
EZA,em_safrica,0.4578976792003337,0.4897687864743684,False,0.34736684422631225,4601
TIP,bonds_tips,0.46692462004653873,0.5186262287666559,False,0.06316785073112485,4601
FXI,em_china,0.4684656789728223,0.5114770049308651,False,0.3294914459674243,4601
EWJ,intl_japan,0.4695466618143414,0.4957582285959076,False,0.20748113379965338,4601
XLK,us_sector_tech,0.4735080513255538,0.5035173009541445,False,0.23486635572683523,4601
PFF,preferred_stock,0.4762209355732904,0.5434596963420323,False,0.18813139434236464,4601
SLV,commodity_silver,0.4772489676456398,0.5509919701394392,False,0.33502569407301386,4601
AGG,bonds_aggregate,0.47810203919661093,0.5424750007314566,False,0.054683757432147165,4601
LQD,bonds_ig_corp,0.47873323523644107,0.536286581497621,False,0.08955557823073827,4601
INDA,em_india,0.4845647057460288,0.5196275168597297,False,0.22028760092342106,3570
XLY,us_sector_discr,0.48563092802108565,0.5287227815828325,False,0.23026658728176896,4601
IWO,us_style_sm_growth,0.4911568463567175,0.5200380731681372,False,0.2543099125424088,4601
IWM,us_broad,0.4914786081118396,0.5084563098025113,False,0.2500766154259257,4601
SPY,us_broad,0.49233195393264684,0.5172350082129483,False,0.19888228095870863,4601
IWN,us_style_sm_value,0.4960220775464853,0.49696878121605403,False,0.25550864548904556,4601
VNQ,reit_us,0.4963842373714533,0.5310069755428007,False,0.29852826985327025,4601
UNG,commodity_natgas,0.4965463488817639,0.5412389176667526,False,0.4965893733937744,4601
EMB,bonds_em,0.4965539063049408,0.5320471601689115,False,0.10869181583388171,4601
EWQ,intl_france,0.49670769599312165,0.4968075556574003,False,0.25795006951767774,4601
QQQ,us_broad,0.49690629534724906,0.5163717238566751,False,0.2241927026488303,4601
IWD,us_style_lg_value,0.498078283308927,0.5181061291302771,False,0.20235949923667676,4601
UUP,fx_usd,0.4984157133776895,0.5021392658500029,False,0.08073676841958964,4601
XLE,us_sector_energy,0.49869441887450267,0.5305948561508187,False,0.30690376353200355,4601
IWF,us_style_lg_growth,0.499026913076174,0.5131094672036005,False,0.20899055358894988,4601
EWP,intl_spain,0.4990761647828976,0.5012779895019996,False,0.2852732909056733,4601
IYR,reit_us,0.49910230154416735,0.5330195365673585,False,0.2900322803421964,4601
VTI,us_broad,0.499218843599165,0.5166828765350414,False,0.20106867509768397,4601
IWB,us_broad,0.49928930718299375,0.5166088188123671,False,0.19822412883583906,4601
XLF,us_sector_fin,0.5018115266563155,0.5454712747964658,False,0.3058781943128166,4601
XLB,us_sector_mat,0.5032092283602443,0.4999955000396734,False,0.2391514357725786,4601
EWL,intl_switzerland,0.5032790571724782,0.5070841661327148,False,0.19705326492027642,4601
TLT,bonds_lg_treasury,0.5034781318495951,0.5240971970958987,False,0.15350968829797676,4601
HYG,bonds_hy_corp,0.5036788529760797,0.521751142472871,False,0.10985307081385791,4601
EEM,em_broad,0.5054593851923606,0.5055008803410989,False,0.27607281109835263,4601
FXE,fx_eur,0.5068352382315185,0.5022677519547224,False,0.09095783636409423,4601
EPOL,em_poland,0.5074804204246726,0.5526197420764699,False,0.284513723236977,3997
EWU,intl_uk,0.5075156034011163,0.5111986897930999,False,0.23173090293367402,4601
EWY,intl_korea,0.5083550634609557,0.5014682652304044,False,0.310918506782127,4601
EWA,intl_australia,0.5102346370817155,0.4983189262176645,False,0.278716739873789,4601
EWI,intl_italy,0.5107331461512061,0.5054523158185984,False,0.29150629011212836,4601
IEF,bonds_md_treasury,0.511937895205802,0.5298737808434806,False,0.06998149805646613,4601
EWG,intl_germany,0.5127723925854425,0.4998340042676003,False,0.2580786107377244,4601
EZU,intl_eurozone,0.5131164874231334,0.5067518141098158,False,0.2580543545404711,4601
EFA,intl_developed,0.5134529197042147,0.514224902745532,False,0.21900565572803923,4601
VEA,intl_developed,0.5168679594302759,0.5128141988660927,False,0.21618303410131764,4601
XLI,us_sector_ind,0.5173094315464639,0.519601861628003,False,0.21839662010149863,4601
EWH,intl_hongkong,0.5179726269109909,0.5234273443089574,False,0.23862948569557063,4601
EWZ,em_brazil,0.5197163733817953,0.5036328154801916,False,0.3745967710568883,4601
TUR,em_turkey,0.5199119317834789,0.4975832986658875,False,0.3759786527671901,4542
EWW,em_mexico,0.5242126515218507,0.5082330840795508,False,0.27626332476662674,4601
EWC,intl_canada,0.5244020176268569,0.5139882152947137,False,0.22602258092312705,4601
EPP,intl_asiapac_exjp,0.5245187237663198,0.5083870815997709,False,0.24664133563154683,4601
DBA,commodity_ag,0.5253309077805506,0.5558418871172442,False,0.16463027416792153,4601
EWT,intl_taiwan,0.52667257975017,0.5060150294084693,False,0.2505610022615232,4601
VWO,em_broad,0.5279127059882157,0.5124583002254257,False,0.2614994957382694,4601
EWS,intl_singapore,0.5505548939086568,0.5091386111382504,False,0.22885301062562938,4601
SHY,bonds_sh_treasury,0.5735850429547615,0.6015575102825292,True,0.014936589198820608,4601
DBC,commodity_broad,0.5747874379287651,0.5678503734119814,False,0.19391050548350328,4601
USO,commodity_oil,0.5854899518586362,0.5686924220064786,False,0.38031973893207993,4601
