uniform,vwap_profile,avoid_open,front_load,end_load,vwap,date,ticker
-12.814666776412848,-25.096735240894972,-5.628130338039461,-55.93388540664037,-56.4338654718866,0.0,2025-05-05,AAPL
8.484053412650821,4.925296719428803,10.163632958905403,-1.5934238648680863,-26.726414644757508,0.0,2025-05-06,AAPL
-20.38804070379541,16.287110635953496,-52.25905194312945,170.8380267322349,19.209670292744438,0.0,2025-05-07,AAPL
19.52297926104799,-9.11518137742317,39.50408597196629,-100.36366100445031,-20.4877959196914,0.0,2025-05-08,AAPL
-9.683729324727972,-11.360509396203078,-8.755695236860753,-15.251933851916975,-6.197114016315818,0.0,2025-05-09,AAPL
12.968486412224241,3.046414141013081,17.64565715757676,-15.09453805987051,64.62803579067109,0.0,2025-05-12,AAPL
22.22158552324859,13.631198952189626,26.95356374124638,-6.170283784718026,59.52570773232105,0.0,2025-05-13,AAPL
-12.370575976190311,3.4027688716698243,-22.1615792404804,46.37544360954487,4.926212854681117,0.0,2025-05-14,AAPL
3.0398333062421075,-1.5749964945789547,10.993927742791495,-44.684733313046145,11.323469918934393,0.0,2025-05-15,AAPL
-1.062674323272192,-9.474887608460001,2.4117787070368633,-21.909392505123833,6.044248268605206,0.0,2025-05-16,AAPL
29.984319949784666,13.621630974058927,41.39509932192185,-38.48035628302337,64.6973027619923,0.0,2025-05-19,AAPL
0.08611706803360987,11.392035916769874,-6.256469228397964,38.141634846620306,-8.947538837845846,0.0,2025-05-20,AAPL
1.3654131646696506,36.696363699660736,-16.30064288588995,107.36174946803422,-76.80134761238978,0.0,2025-05-21,AAPL
12.97480161446206,-2.7969308246586766,23.12187244616393,-47.907623375746354,2.2598681459870233,0.0,2025-05-22,AAPL
5.6908321895319345,17.822994924974843,-3.069315017656738,58.25171543268427,-35.10234059707252,0.0,2025-05-23,AAPL
18.23666994081779,1.524464332546568,30.276238021564886,-54.00073854364767,38.764610632841595,0.0,2025-05-27,AAPL
-3.6884081982804924,-5.3258955368970655,-2.3218200171878065,-11.887937284821055,-28.306842736753413,0.0,2025-05-28,AAPL
-26.442494513987942,-10.049044501678342,-36.628998615113545,34.67653009278692,-24.691520050236825,0.0,2025-05-29,AAPL
-9.8094076028835,-7.821194300055115,-10.405869671898179,-6.23063518877832,64.99569389993772,0.0,2025-05-30,AAPL
2.0680112282967604,-5.739348474412984,7.1992638228530055,-28.719504339023747,34.43099138971441,0.0,2025-06-02,AAPL
12.002299142265828,-1.1241015530090324,21.450252941494565,-44.68542365309536,34.2697252752994,0.0,2025-06-03,AAPL
-15.158845436398263,2.8381418248720998,-28.367584496625117,64.0935889249796,-46.4380632205628,0.0,2025-06-04,AAPL
-1.592683947018794,7.8646469427496815,-2.681897323951211,4.942596314599586,-88.95382331604209,0.0,2025-06-05,AAPL
-9.323210636597565,-15.02293781236127,-8.26106505332604,-15.696084136209993,-2.46004211532975,0.0,2025-06-06,AAPL
3.7062137901944845,39.727310691153484,-18.143359267476928,134.8036521362412,-56.71732124137944,0.0,2025-06-09,AAPL
2.4303016826710913,9.79541816728338,-0.3166892989648373,18.912247572503507,12.986183698226382,0.0,2025-06-10,AAPL
-21.384600422642645,6.360784498972661,-42.06746143670324,102.71256566173514,-92.11160242206195,0.0,2025-06-11,AAPL
6.631389010978264,-2.0978471944480583,11.948970848212188,-25.27410201240953,31.799423581277917,0.0,2025-06-12,AAPL
-14.95321609232597,-17.647220970507167,-10.037367426864105,-44.44830808508418,-29.47612007951764,0.0,2025-06-13,AAPL
3.1304412245675044,6.092167302841307,-1.3299869453908917,29.89301024433656,26.860358348035675,0.0,2025-06-16,AAPL
-6.179124387221918,8.696354330689985,-14.439316891994098,43.382030641421274,-55.2321280732872,0.0,2025-06-17,AAPL
0.1062853102385933,10.109284236831918,-5.482865740533798,33.64119161488886,-7.611254860828833,0.0,2025-06-18,AAPL
-7.552410820730699,-16.9495138800139,-3.872264083393522,-29.63329124474092,83.78087706268536,0.0,2025-06-20,AAPL
3.885399529873068,2.9147596102789635,2.0832252239906723,14.698445365180163,23.561123182129666,0.0,2025-06-23,AAPL
-3.6978956172986,-9.569718966619524,0.18462897176445361,-26.993043151674105,-61.346206253733065,0.0,2025-06-24,AAPL
-14.175717008631743,-3.028825232634171,-20.962067672348905,26.54238697368107,-15.061341465320195,0.0,2025-06-25,AAPL
-6.4635626950664795,-16.384710583921933,-0.9454514114912543,-39.57223039651216,19.766609970340202,0.0,2025-06-26,AAPL
-2.804125727884131,-3.0059742236149245,-3.233744371094513,-0.2264138686105604,-24.042079511625147,0.0,2025-06-27,AAPL
-52.063713671947006,-68.00140392014389,-44.09990815662873,-99.8465467638371,102.58399284388253,0.0,2025-06-30,AAPL
