,gross,net
ann_return,-0.04098440615043527,-0.047546958982218876
ann_vol,0.0980855764179525,0.09813037630557091
sharpe,-0.417843353193915,-0.4845284485016248
max_drawdown,-0.589229581190263,-0.6248159793786806
hit_rate,0.42857142857142855,0.42857142857142855
n_periods,182.0,182.0
turnover,0.27495041790621905,0.27495041790621905
cost_bps_per_side,0.0,10.0
sharpe_ci_low,-0.9825049545558953,-1.055339883189564
sharpe_ci_high,0.08798325249415986,0.02679230150585578
