,plain_gross,plain_net,resid_gross,resid_net
ann_return,-0.044824419279746584,-0.05145138371316263,-0.008348633832094077,-0.014311826553351316
ann_vol,0.09761185485284743,0.09765877616723181,0.07521047531958838,0.07528793835401427
sharpe,-0.4592108135566181,-0.5268485407297834,-0.11100360417373531,-0.19009454723086097
max_drawdown,-0.6186561084359956,-0.6528186860542258,-0.24944162533845182,-0.2826179301452778
hit_rate,0.42473118279569894,0.41935483870967744,0.4946236559139785,0.4838709677419355
n_periods,186.0,186.0,186.0,186.0
turnover,0.27761607761607765,0.27761607761607765,0.2498094248094248,0.2498094248094248
cost_bps_per_side,0.0,10.0,0.0,10.0
