ticker,H_dfa
AAMI,0.49429735314787926
AAP,0.4924298854685721
AAT,0.49369347249583284
ABCB,0.5168153590394865
ABG,0.44256056940787003
ABM,0.4176663021996552
ABR,0.48692157835438915
ACAD,0.5047919751984157
ACHC,0.4778646986289594
ACIW,0.45513411171243134
ACLS,0.49414574192922384
ADAM,0.46845591364246886
ADEA,0.45513777033320924
ADMA,0.44423795402632377
ADUS,0.500782270656944
AEO,0.5336106088210899
AGO,0.4732458236203282
AGX,0.4739581887816368
AGYS,0.47373296964531486
AIN,0.43136872102260926
AIR,0.507913973752359
AKR,0.5112648605023439
ALG,0.4450734339517913
ALGT,0.5177098976238762
ALKS,0.4514130511872581
ALRM,0.4821968949925248
AMN,0.4825085131851827
AMPH,0.4653081306863754
AMSF,0.3898459101981241
ANDE,0.4690142653244442
ANIP,0.48793440007405353
AORT,0.45081252358616036
AOSL,0.4619673313206455
APAM,0.4880376425448615
APLE,0.4178092861917431
APOG,0.48765850308438363
ARCB,0.5191875242824654
AROC,0.5381638987565577
ARR,0.47058681324862134
ASTE,0.45234424509904503
ASTH,0.3228355832736287
ATEN,0.49271301948127294
AUB,0.4665091295353357
AVA,0.4303037432732516
AWI,0.4516965671163912
AWR,0.38647156003448374
AX,0.496767086690539
AZTA,0.4632212985191198
AZZ,0.42759809051519426
BANC,0.4625643779968496
BANF,0.4795732184234921
BANR,0.5132821980709585
BBT,0.5501957919275944
BCC,0.5040835029218103
BCPC,0.4380640944981539
BFAM,0.47304289024609597
BFH,0.5027625682397722
BFS,0.46897954781521717
BGC,0.5101927020236449
BHE,0.4729252185825337
BJRI,0.48556897080771183
BKE,0.49342671064443394
BKU,0.5050207837906459
BLFS,0.388795581963618
BLKB,0.45675519427679323
BMI,0.4296476976649123
BOH,0.4860907106606403
BOOT,0.5590358958885533
BOX,0.4241961507651528
BRC,0.43407253788316974
BXMT,0.4326229348936334
CACC,0.4192919562349349
CAG,0.47480288891254496
CAKE,0.4893655103168496
CALM,0.44322775103155665
CALX,0.49217711271944736
CALY,0.45310176039639055
CASH,0.5536456310013562
CATY,0.4629021192725859
CBRL,0.4687253138981164
CBU,0.42753789737583037
CC,0.5173066432366611
CCOI,0.4410530650610199
CCS,0.4698250922001923
CE,0.49762233149364615
CENT,0.4504200965593404
CENTA,0.44161734140266207
CENX,0.5143533834426285
CFFN,0.48247154177261814
CHCO,0.4056581977863549
CHEF,0.4644886861669307
CNK,0.47021659762538826
CNMD,0.4761773101411524
CNS,0.47342992588842014
CNXN,0.40597733214735454
COHU,0.47254644692162195
COLL,0.46146819543413625
CORT,0.4307943078798179
COTY,0.5145793850413569
CPB,0.4476991536834957
CPF,0.49416065355202915
CPK,0.38670925725546673
CRI,0.4419784566643028
CRK,0.4746391256400074
CRVL,0.518656143801654
CSR,0.445012018575326
CSW,0.5047137655785119
CTS,0.44303233261226393
CUBI,0.5232315869539881
CVBF,0.45402754528130623
CVCO,0.4035132457957625
CVI,0.5107813784582238
CVSA,0.4778030286147654
CWEN,0.44945450795870884
CWST,0.4426724576922834
CWT,0.38715983677968197
CXW,0.4683011988453591
CZR,0.4946579328922157
DAN,0.4860940258224638
DCH,0.43937368463270843
DCOM,0.49050667501235784
DEA,0.4417928812765015
DEI,0.45242662355656843
DGII,0.4484529447485583
DIOD,0.45225263276261257
DLX,0.48722034320155827
DMC,0.4245749865118171
DNOW,0.47640530475432413
DORM,0.43602116800705
DRH,0.4373998635630314
DXC,0.4961680423670558
DXPE,0.4999647473639389
EAT,0.5033294024394543
ECPG,0.4299736336239192
EFC,0.41714348766310716
EFOR,0.498868478920007
EGBN,0.4822542497307095
EIG,0.46995192486115533
EMN,0.48710354598118744
ENOV,0.47702596847153883
ENPH,0.4681616089472051
ENR,0.4667229022085843
ENVA,0.5086464534530158
EPAC,0.4343454411028836
EPAM,0.46875899504518387
EPC,0.42882253942408766
ESE,0.43517973913503893
ESI,0.534327648496602
ETSY,0.48707739610526785
EVTC,0.47452913671263125
EXTR,0.518827992831766
EZPW,0.528915410563176
FBNC,0.49747719410322566
FBP,0.5522086911041535
