H_real,H_shuffled,H_shuffled_single
0.5169840735441522,0.496457601604473,0.45975113554336283
0.41393592648077426,0.5069316286052721,0.5398200739414435
0.4326912815791384,0.5011292949203527,0.4985872382357729
0.47719584404066473,0.49323202415492173,0.5221118987941268
0.556411749703867,0.5070205745969242,0.5260349188196931
0.5291849855428554,0.5022826377351793,0.4830515019352676
0.4316430863018718,0.49100750108172253,0.4912867705280836
0.4457189764777996,0.5124950904979878,0.4888072163678408
0.4805933992207592,0.5239020917080348,0.49816911102307854
0.5016340550449951,0.49405647029704514,0.488042845588079
0.5078625645562796,0.49386736827037886,0.4733509568099521
0.5052145792280319,0.49948785003236357,0.5013263397221395
0.49038064416771265,0.49950088443865726,0.5128682175826149
0.4846681818673509,0.4825320643517757,0.513131237982599
0.4614026979940823,0.5091035182222289,0.4831825827946891
0.4520028084558297,0.4937804685508074,0.4839701995479603
0.49777214895043825,0.5121150073340041,0.5118108602534706
0.5171212882185766,0.5281943356887974,0.5111048000872174
0.42022059242047194,0.515981693810685,0.4892345966176673
0.45839775776712066,0.4959761897793411,0.4873861769541149
0.4812667015329316,0.5256407518983116,0.48941959045551603
0.48375475714972704,0.4689991968829208,0.49204832635862744
0.44807097162328946,0.5074664751629769,0.5190508165859857
0.47884517260585585,0.4703424498358301,0.45854747162472403
0.47732976021378576,0.49215300668334844,0.5188229254941532
0.45175454408225074,0.48350030459455356,0.5377625884032409
0.4459380234201865,0.49783163228739613,0.5085798882825362
0.4963699306265977,0.48803928834372595,0.4901019942867184
0.4408457752475806,0.5328264370561943,0.5149781246792395
0.4944931271350532,0.48931271840443075,0.48032498861343276
0.41525277432176433,0.5056040238004677,0.5193046737960226
0.4629866281331076,0.5111894104370148,0.5045469724173491
0.5136636460549779,0.5024065804700779,0.4703970850608481
0.5127955761275365,0.4995054154621215,0.5036490190418914
0.496610007295116,0.490121042257073,0.4589169894518845
0.5297859127009896,0.48589717975732394,0.48302453911480264
0.4437102221831506,0.48581572984170607,0.47141488046054614
0.4980996354623654,0.5143269273196363,0.5162259264423713
0.49786704620340516,0.4895504709905572,0.5332569649731523
0.5205241371684536,0.4824694342475822,0.4940985216064739
0.4290306404161722,0.5267391362973718,0.49376336328026676
0.48478098907546896,0.47493360834029846,0.48044902686492014
0.43178351502075807,0.48159216056641346,0.5038116657028902
0.4630086622265712,0.5098086201036945,0.49163976991579206
0.4297184799736755,0.4734140424151496,0.46832415513784653
0.4374910368220461,0.5036641658484328,0.4956560512075196
0.4341154574897873,0.48807366906791444,0.5228780997419296
0.42193851379192354,0.5008435249244717,0.5156196375773995
0.43213254418676217,0.48821127500003064,0.4892524790152294
0.45357133835509705,0.4877783421843449,0.45493504195388396
0.42541226851257025,0.5031748907358592,0.49589638443114253
0.482937194303151,0.5169703637342346,0.538927104446375
0.419693287843289,0.4990406052604617,0.4920052677963081
0.39651631975768825,0.5118150797488638,0.498415678851178
0.46082665326094685,0.49618087470489086,0.5402296977642471
0.43643030236318053,0.4668865300004256,0.45438693816640296
0.4973735767901055,0.5113551627138887,0.49979099679883693
0.4471712482092518,0.4881195167810946,0.5022607320856742
0.4772933722495452,0.521997493410714,0.5216279192249396
0.47973197764827585,0.5030770881887343,0.48608794452913057
0.44132752909676354,0.4905774782309817,0.5020421019492711
0.43780587670560284,0.5095958066697334,0.5093318341968004
0.5439106678748964,0.4899083239104763,0.49272756284331226
0.42226500892695984,0.504410877368313,0.49433920123479164
0.5419174523762583,0.5187960711510876,0.5299746186639737
0.41257671942542257,0.5141757453725139,0.5246686356014973
0.4224720152725901,0.523595269142501,0.5283073894169896
0.44994575346071186,0.5112532754283309,0.5415203781106166
0.4488639933919462,0.480193242649036,0.48455543057132017
0.4756538915247368,0.5080455953222547,0.5070356543390724
0.44127529367283985,0.5060329382930852,0.5034048752376493
0.47531344593696556,0.519293073415983,0.5059507465706153
0.5040565551370096,0.4988698761514941,0.47454451191355557
0.4658241526415414,0.47830450156459686,0.5007835430278599
0.41793521534177724,0.5122697248401319,0.466479465459344
0.4992897317234195,0.526837638642944,0.534135603171428
0.4794081505771781,0.5054895369054287,0.5063014975385033
0.4741166006071374,0.5092887319786433,0.511878533701217
0.46297706980322945,0.4727762176737687,0.46740064566629297
0.49005016855758543,0.5057015026101496,0.47912878115498925
0.4651819046373737,0.5047803511724076,0.5356904105014773
0.4395814481049361,0.49541363982377445,0.5057131509954752
0.44110248692427423,0.49661174662233626,0.4776993248632721
0.4400112398377651,0.49135342450517977,0.4723059481178522
0.4590085171639752,0.5147567657310269,0.5297841960063
0.4174198951610077,0.48883738788341885,0.5184862711436408
0.45124410289734396,0.5019179553916261,0.49757161645025744
0.44261065147220063,0.4938627178528752,0.5191419173494077
0.4405085114804546,0.4868783495658187,0.4929221704181502
0.46812433438614226,0.5053695274174503,0.5194002498384109
