,gross,net
ann_return,-0.005819059688137351,-0.01908339689529493
ann_vol,0.08231052867336074,0.08230938297191476
sharpe,-0.07069641978888967,-0.23184959243111425
max_drawdown,-0.2601423919168231,-0.31022787057196555
hit_rate,0.47435897435897434,0.46153846153846156
n_periods,156.0,156.0
turnover,0.27812319950491704,0.27812319950491704
cost_bps_per_side,0.0,10.0
sharpe_ci_low,-0.6066412353331381,-0.7724567408791176
sharpe_ci_high,0.4922590774528019,0.3254168584551371
