ticker,hour_utc,abs_ret,volume,abs_ret_norm,volume_norm,n_bars
AAPL,13,0.010125592443145872,223.47284934751448,2.496258448668774,0.9514189110482534,310
AAPL,14,0.005588913368992683,233.84624825960424,1.377832684315641,0.9955828796271028,478
AAPL,15,0.0032978359375621137,233.86063851073197,0.8130142377037344,0.9956441450430029,478
AAPL,16,0.003073937244302397,233.87540793971013,0.7578165781264127,0.995707024780189,475
AAPL,17,0.002646363300288688,233.6261164185348,0.6524069365505916,0.9946456848084533,471
AAPL,18,0.0025340895382494387,233.71299934387207,0.6247281287546074,0.9950155823528504,472
AAPL,19,0.0028492926075258645,233.71474935240664,0.7024350213779836,0.9950230328830564,472
AAPL,20,0.0023344374054865883,252.96105556953245,0.5755079645022563,1.0769627394570922,164
AMD,13,0.020887197184196214,156.15349748672978,2.6859753131069706,0.9626526273614588,310
AMD,14,0.011723019313693635,161.720951447427,1.5075139184055653,0.9969747800460929,478
AMD,15,0.006167420449923794,161.74883707597166,0.7930953553969561,0.9971466889307237,478
AMD,16,0.0055641620288890995,161.5646468955592,0.7155197375659017,0.9960111962010568,475
AMD,17,0.0050303890908307836,161.42924719808462,0.6468795594804481,0.9951764862738652,471
AMD,18,0.00432017687517725,161.58755253937284,0.5555502891389136,0.9961524045540779,472
AMD,19,0.0045701058543088065,161.62296844741044,0.587689740979073,0.9963707359873889,472
AMD,20,0.0039486659391113,171.86571851590784,0.5077760859261714,1.059515080645335,164
AMZN,13,0.012140986842991239,202.10544856902092,2.5626059665265593,0.9598064127839577,310
AMZN,14,0.007028257801239979,209.79099522674431,1.4834589320176732,0.9963053642969548,478
AMZN,15,0.003875269205713505,209.83371721850278,0.8179555844087685,0.9965082526502724,478
AMZN,16,0.0034870649001816664,209.76800871196545,0.7360170498849891,0.9961962004696137,475
AMZN,17,0.00309709015316447,209.63882805891097,0.6537048271287426,0.9955827166665435,471
AMZN,18,0.002610354859890353,209.70449150214762,0.5509692931236666,0.9958945548398844,472
AMZN,19,0.0028807598672901946,209.71718771983,0.6080438533964597,0.995954849657446,472
AMZN,20,0.0027822176965528415,223.99308990850682,0.5872444935131403,1.0637516486353278,164
AVGO,13,0.01744202755303376,234.01808255103327,2.3803768051904184,0.9347069747962744,310
AVGO,14,0.011242405599909919,248.88862469405808,1.5342918960080285,0.9941023826577847,478
AVGO,15,0.005959654022749444,248.8910013621821,0.8133356147717518,0.9941118754638452,478
AVGO,16,0.005262986455711213,248.83971596165708,0.7182588633755067,0.9939070330813532,475
AVGO,17,0.004799760139319501,248.55366169469877,0.6550406867191559,0.9927644849689105,471
AVGO,18,0.004370594714574987,248.79197013984293,0.5964709235683203,0.9937163283623821,472
AVGO,19,0.004818928667616044,248.81456116498526,0.6576566853470671,0.9938065606578447,472
AVGO,20,0.004723026181694574,276.1238443328113,0.6445685250197513,1.1028843600116056,164
BAC,13,0.009453787425476642,44.088295179797754,2.383486520050027,0.9544179742557901,310
BAC,14,0.005926136006148805,46.02026046369864,1.494095926948202,0.9962409203477977,478
BAC,15,0.003352993254031445,46.0015045981737,0.8453558201727487,0.9958348956850901,477
BAC,16,0.0031405272877655438,46.000647831967,0.7917889539240455,0.9958163485159588,475
BAC,17,0.002766884529296699,45.966898057617705,0.6975862351570855,0.9950857375650322,471
BAC,18,0.002444760136265762,45.98188380871789,0.6163723137926725,0.995410147255845,472
BAC,19,0.002344817410488643,45.98507667800128,0.5911747787788355,0.9954792660961423,472
BAC,20,0.002301047227420064,49.5066896996847,0.5801394511763832,1.071714710278344,164
COST,13,0.007001332021790325,929.1166899650327,2.166743129631268,0.9899064184165522,310
COST,14,0.004845824616827687,937.2521451686715,1.4996656583677592,0.9985741556446128,478
COST,15,0.002821717689350082,937.235411703836,0.8732534606457498,0.9985563273519754,478
COST,16,0.0024854509659724155,937.4196905838816,0.7691870329524858,0.9987526631277783,475
COST,17,0.0023321386527703925,937.6587749894258,0.7217405755805906,0.9990073902144271,471
COST,18,0.002064994488688104,937.7782446651136,0.6390659101962209,0.9991346764854055,472
COST,19,0.0021735523276834984,937.9554646378857,0.6726619389345838,0.999323491507688,472
COST,20,0.0021251490497488333,954.3070105575933,0.657682293691342,1.0167448772515613,164
CVX,13,0.009178341230327893,154.9465325140184,2.521485343327727,0.9893066225499068,310
CVX,14,0.005152543999017716,156.4346325926202,1.415513309904503,0.998807882364447,478
CVX,15,0.0030289343964555724,156.41726563011827,0.8321126328718,0.9986969973337336,477
CVX,16,0.002702732582050934,156.4110609195107,0.7424980638176026,0.9986573813371994,475
CVX,17,0.0023256245967400724,156.43578437432615,0.6388984880390045,0.9988152362900298,471
CVX,18,0.002157974031838711,156.505815182702,0.5928413158778105,0.9992623708040113,472
CVX,19,0.0023863620886572547,156.47771854723914,0.6555843675259878,0.9990829786802651,472
CVX,20,0.0021879140632830407,159.34193950746118,0.6010664786355643,1.0173705306404068,164
DIA,13,0.0053251119191772365,428.1504179923765,2.3636930297763135,0.971103809454301,310
DIA,14,0.00301877110562878,439.66768272751045,1.3399621133159874,0.9972265438690584,478
DIA,15,0.001978096667416944,439.6355106505708,0.8780309927682417,0.997153573190621,477
DIA,16,0.001884968557649009,439.73172254060444,0.836693596057015,0.997371794939334,475
DIA,17,0.0017764782494478842,439.54954110892714,0.7885372776198798,0.9969585824913741,471
DIA,18,0.001449811325892608,439.6941726167323,0.6435374462575788,0.9972866265672279,472
DIA,19,0.0014257548291778633,439.6997989072638,0.6328593282257864,0.9972993877650188,472
DIA,20,0.0011640309856334383,460.9949383619355,0.5166862159791978,1.0455996817230653,164
GOOGL,13,0.010871328813726917,195.31179696359942,2.4006116906312114,0.9054796794593392,310
GOOGL,14,0.007092015677354642,213.7362609607904,1.566062073635394,0.9908968330248037,478
GOOGL,15,0.003976200603894564,213.7956049452267,0.8780263956280651,0.9911719560477885,478
GOOGL,16,0.0033249827495710426,213.6832467811986,0.7342241777922052,0.9906510554369168,475
GOOGL,17,0.0028784682957004918,213.4441895373561,0.6356246563938653,0.9895427686877692,471
GOOGL,18,0.0026577980648252735,213.7371719166384,0.5868961573216595,0.990901056282293,472
GOOGL,19,0.0030037943508007155,213.73360549797445,0.6632992119306643,0.9908845221062788,472
GOOGL,20,0.002423940551617066,248.15662235166968,0.535255636666935,1.1504721289548117,164
GS,13,0.011009324943119347,615.4667609430129,2.395498933778437,0.9260449948349859,310
GS,14,0.0073909454610959335,660.2506854963103,1.6081823420731378,0.9934278850468079,478
GS,15,0.0039038973180286836,659.7400345072556,0.8494418968678844,0.992659548196582,477
GS,16,0.003661901554834569,659.9515380859375,0.7967864801456535,0.9929777811912086,475
GS,17,0.003181913625040293,659.3438799750779,0.6923467819816601,0.9920634852651863,471
GS,18,0.002656930114563605,660.0758485955707,0.5781165774872288,0.9931648215523727,472
GS,19,0.0025550894566908444,660.0692825317383,0.555957254494227,0.9931549421065055,472
GS,20,0.002406701240426377,742.0510544195408,0.5236697331717707,1.1165065418063511,164
HD,13,0.008683002788889818,369.2990163495464,2.351249520910405,0.9832564235646344,310
HD,14,0.005648761817755156,374.84856386064985,1.5296146783147524,0.9980320606408102,478
HD,15,0.0030778880000968405,374.9343189423439,0.8334539169909522,0.9982603830332241,477
HD,16,0.0028197881636458943,375.08816746761926,0.7635636806802102,0.998670003812148,475
HD,17,0.002651974160329177,375.0649953141587,0.7181217288009183,0.9986083080920696,471
HD,18,0.002433663652744183,375.032190872451,0.6590059495193877,0.9985209664621096,472
HD,19,0.002244174291158642,375.04807262097376,0.6076945793081862,0.9985632515226192,472
HD,20,0.001984196977619724,385.3862559620927,0.5372959454751881,1.0260886028723848,164
INTC,13,0.02271741565548229,27.610046429787914,2.680359643021313,0.9422829614287268,310
INTC,14,0.01300869726453826,29.152773665583783,1.5348571195304763,0.9949335642489427,478
INTC,15,0.0061731342699596825,29.14894681395846,0.7283495719355182,0.9948029604453009,478
INTC,16,0.005507387423170297,29.112603113274826,0.64980010100693,0.9935626130233384,475
INTC,17,0.005348303930993996,29.087891090700833,0.6310303175611904,0.9927192345859595,471
INTC,18,0.0054031067661650806,29.14997706979008,0.6374963394865443,0.9948381212886018,472
INTC,19,0.005081375947520079,29.147763102741564,0.5995362864906322,0.9947625624360557,472
INTC,20,0.0045646608238573,31.999810288592084,0.5385706209673953,1.0920979825430743,164
IWM,13,0.00841104283720618,219.55415250716672,2.450496819567136,0.9642687945833883,310
IWM,14,0.004770889886650579,226.92663606140903,1.38996444555329,0.9966483043706287,478
IWM,15,0.0029653331142170075,226.9013613974773,0.8639284695118197,0.9965372995481526,477
IWM,16,0.0027455834423821203,226.953692369963,0.799905983554397,0.9967671340704422,475
IWM,17,0.002527577360695865,226.83169345086293,0.736391480042974,0.9962313220654414,471
IWM,18,0.0022003457631114966,226.9442438351906,0.641054908269108,0.9967256366670384,472
IWM,19,0.0020214977079723493,226.93441041849428,0.5889488140799809,0.9966824488850897,472
IWM,20,0.0018167913157794249,240.47207325260814,0.5293090794212941,1.056139059809819,164
JNJ,13,0.00621357604741332,169.74735181254727,2.182864711506613,0.9674070498938795,310
JNJ,14,0.004310906483799196,174.82173383385566,1.5144460398143365,0.9963264579956891,478
JNJ,15,0.002317726414052807,174.75970273447737,0.8142305109903324,0.9959729365874878,477
JNJ,16,0.002065964776350973,174.88353441740338,0.7257852114628203,0.996678665671233,475
JNJ,17,0.002008575208630225,174.86916790292014,0.7056239289372139,0.996596789475551,471
JNJ,18,0.0018327657384895086,175.00967785463496,0.6438610591516891,0.9973975696728131,472
JNJ,19,0.00188110129208292,175.04729245072704,0.66084161486471,0.997611938999049,472
JNJ,20,0.0021415733174610044,184.5920727427413,0.7523469232722848,1.0520085917042974,164
JPM,13,0.008659972167439646,253.09713759883758,2.329191761465276,0.9585769156000115,310
JPM,14,0.005906438071744795,263.0610697598637,1.5885994354621817,0.9963141869448299,478
JPM,15,0.0031084908238295786,262.9598485598774,0.8360617190753485,0.9959308230451165,477
JPM,16,0.00280024052695862,263.040979999743,0.753154518213832,0.9962380992400287,475
JPM,17,0.002645346100943131,262.8634332871488,0.7114940123834956,0.9955656610538519,471
JPM,18,0.0022058379934619073,262.9835555189747,0.5932836251848586,0.9960206104838261,472
JPM,19,0.0021835798524678144,263.00676096900037,0.5872970610681864,0.9961084985133857,472
JPM,20,0.0022342222269989965,281.2612194898652,0.6009178671468209,1.0652452051189498,164
LLY,13,0.012528154804047585,832.9381249212449,2.47222635640677,0.9599047124856865,310
LLY,14,0.00779451877604782,864.4957049381783,1.5381207412465228,0.9962726837269629,478
LLY,15,0.004022905620363774,864.4003945916454,0.7938545986666012,0.9961628450150007,477
LLY,16,0.0036793029272608486,864.5658598889803,0.7260502294432137,0.9963535325509801,475
LLY,17,0.0034732011924222634,863.7774393847034,0.6853794244492899,0.995444931377817,471
LLY,18,0.0030677164243460026,864.0652727030091,0.605363640286426,0.9957766397609316,472
LLY,19,0.0029136979176248336,864.2350593178959,0.5749706081403458,0.9959723073223873,472
LLY,20,0.0030609804266537735,923.362217228587,0.6040344013608306,1.064112347760234,164
META,13,0.013136863045676829,614.4926329581969,2.5576646250298123,0.9858942092744123,310
META,14,0.007250711456343491,622.1774869783154,1.4116679251132958,0.9982238169396509,478
META,15,0.004269995496022333,622.4612435057572,0.8313412715988524,0.9986790769415519,478
META,16,0.0038041415837058814,622.2742052580181,0.7406424443506202,0.9983789920984333,475
META,17,0.0033528950399728395,622.2838167810137,0.6527875799084747,0.9983944128607913,471
META,18,0.00288983379150792,622.5170081187102,0.5626324667507242,0.9987685458888493,472
META,19,0.002916951532388526,622.4655173996748,0.5679121203727413,0.9986859339924561,472
META,20,0.0034687898307320204,637.6045245659061,0.6753515668754801,1.0229750120038545,164
MSFT,13,0.008081433795561987,446.8615064067225,2.274110383175469,1.0056348307930396,310
MSFT,14,0.005401626320231028,444.6213332299907,1.5200142464344786,1.0005934563599521,478
MSFT,15,0.00294782449401096,444.6955834552334,0.8295159570929976,1.0007605520073235,478
MSFT,16,0.0026007625860386004,444.6006476151316,0.7318529546492899,1.000546904633074,475
MSFT,17,0.002533306987825713,444.48619938099205,0.71287099177242,1.0002893457945448,471
MSFT,18,0.00205345491488581,444.44750342934816,0.5778409204922257,1.000202262892514,472
MSFT,19,0.002501713085426189,444.5204143847449,0.7039804875241211,1.0003663445939854,472
MSFT,20,0.002309223569333315,440.62782306205935,0.6498140588589976,0.9916063029255665,164
NFLX,13,0.011218351656719009,95.74025931819793,2.3750656433471904,1.0113438812172293,310
NFLX,14,0.007298476524007163,94.75905469471441,1.545178950649436,1.0009790117333894,478
NFLX,15,0.004005088680099963,94.75386758429237,0.8479274686461568,1.0009242181447373,478
NFLX,16,0.0034130184205326923,94.78669512296977,0.7225787743837819,1.0012709889871525,475
NFLX,17,0.0032373324971072875,94.80254334046836,0.6853838625539774,1.0014384002508103,471
NFLX,18,0.0027963831805683675,94.79577415272341,0.5920293659027903,1.0013668945263072,472
NFLX,19,0.002697608456975213,94.79016038926981,0.5711175189919557,1.0013075940255582,472
NFLX,20,0.0031208280715055883,92.90264701843262,0.6607184155247102,0.9813690111148156,164
NVDA,13,0.01832646638926261,143.41401044784052,2.5667935214645365,0.9562888810437057,310
NVDA,14,0.010424568894254001,149.36352114497868,1.4600586568892033,0.9959603950719188,478
NVDA,15,0.005735861671627812,149.43618091279993,0.8033612299301198,0.9964448925617365,478
NVDA,16,0.005058558774339524,149.35306871916117,0.7084986060122154,0.995890697986132,475
NVDA,17,0.004376835383335176,149.28150256373573,0.6130168504848094,0.9954134927362496,471
NVDA,18,0.004066899905378877,149.34030589410816,0.5696074795786783,0.9958055950896242,472
NVDA,19,0.00451714312445103,149.34406254655224,0.6326682657253655,0.9958306445596934,472
NVDA,20,0.004612296509982719,160.2220519461283,0.6459953899150706,1.0683654009509405,164
QQQ,13,0.0072371671869101515,521.560396945092,2.3765168490831177,0.9683192294186962,310
QQQ,14,0.004253429168466548,537.0187376014359,1.3967268993764979,0.9970188941173916,478
QQQ,15,0.0025366736385360887,537.1224611034952,0.8329844380974967,0.9972114652216684,478
QQQ,16,0.002434195127976591,536.9715395636308,0.7993328862231552,0.9969312671275643,475
QQQ,17,0.002227548453126563,536.7296151649167,0.7314749396116216,0.996482114836262,471
QQQ,18,0.0018792152705542373,536.9387987427792,0.6170904496450014,0.9968704811349866,472
QQQ,19,0.0020078633415797874,536.9474846791413,0.6593354745972012,0.9968866072811706,472
QQQ,20,0.0017861745973748455,565.7064387623857,0.5865380633659077,1.0502799408622603,164
SPY,13,0.0054336051875087405,595.1437119022493,2.332226743597924,0.971799765201148,310
SPY,14,0.002966825798344197,610.769366276314,1.273429009233378,0.9973146231222622,478
SPY,15,0.0019545184455774345,610.6997758077625,0.8389237039360811,0.9972009900624715,477
SPY,16,0.001958460760467485,610.803156352796,0.8406158350168222,0.9973697983475642,475
