,return
2011-12-31,-0.021841012393835638
2012-01-31,-0.05564506080999976
2012-02-29,0.003221331036293379
2012-03-31,0.009924140935615972
2012-04-30,-0.050674132773180586
2012-05-31,0.027507885305607646
2012-06-30,-0.02197014001285401
2012-07-31,0.042463205665788525
2012-08-31,-0.014062731378613885
2012-09-30,-0.06037941592570135
2012-10-31,-0.07317116151128954
2012-11-30,0.022529337450457623
2012-12-31,0.03338495540291902
2013-01-31,-0.0018586661100776225
2013-02-28,-0.012341247204724546
2013-03-31,-0.006671039183927634
2013-04-30,-0.005356398189701642
2013-05-31,0.0359944902454813
2013-06-30,-0.006491002356701071
2013-07-31,-0.003953445184062425
2013-08-31,-0.02017913938457972
2013-09-30,0.014477543806857021
2013-10-31,-0.017879344408239087
2013-11-30,0.007050170795024083
2013-12-31,0.007263445351967962
2014-01-31,0.03803670594763707
2014-02-28,0.014275142153786106
2014-03-31,-0.023108360007291242
2014-04-30,-0.05879942396727325
2014-05-31,-0.0060628611094490775
2014-06-30,0.015243960812803863
2014-07-31,0.03868362812836543
2014-08-31,0.003142512051163525
2014-09-30,-0.016999419105313465
2014-10-31,-0.03238836289737717
2014-11-30,-0.00184148225104774
2014-12-31,0.011184539000816108
2015-01-31,-0.026844823250857852
2015-02-28,0.04660831519233691
2015-03-31,-0.010864737990452867
2015-04-30,0.05800319984448125
2015-05-31,-0.004272407473715644
2015-06-30,-0.02922659265721094
2015-07-31,-0.03344314348919562
2015-08-31,-0.0132978975457963
2015-09-30,-0.04465293454391611
2015-10-31,0.040308341965146724
2015-11-30,-0.04223156351095938
2015-12-31,-0.009630905925843316
2016-01-31,-0.11760190640147228
2016-02-29,-0.03665448602574587
2016-03-31,0.021224631560903998
2016-04-30,0.04549577820018163
2016-05-31,0.04211125183146011
2016-06-30,-0.033204357900289916
2016-07-31,0.04116507803245645
2016-08-31,0.048659440359097854
2016-09-30,0.0010865619328793326
2016-10-31,-0.01232222783623183
2016-11-30,-0.029581334697032176
2016-12-31,0.006066890867607616
2017-01-31,0.0031312432369973095
2017-02-28,-0.0055663337614342695
2017-03-31,-0.00770719752977605
2017-04-30,-0.030531117766523053
2017-05-31,-0.029120408209330238
2017-06-30,0.053899232277801225
2017-07-31,-0.009893486708536233
2017-08-31,0.009617040253266701
2017-09-30,0.036350917019882606
2017-10-31,0.0035486491759911913
2017-11-30,0.0002871460002510477
2017-12-31,-0.017775779105006436
2018-01-31,0.005895524807101177
2018-02-28,0.04617409747202741
2018-03-31,-0.01449415627951178
2018-04-30,0.027114397090941617
2018-05-31,0.04052097089737985
2018-06-30,-0.011266009920048238
2018-07-31,-0.01068655180222601
2018-08-31,0.06670161770412178
2018-09-30,0.009502192679053037
2018-10-31,-0.004866449494047326
2018-11-30,0.026671745169747088
2018-12-31,-0.0031429571939715073
2019-01-31,0.07274790846621311
2019-02-28,0.017974519581182416
2019-03-31,-0.007819740583801672
2019-04-30,0.004289686811826593
2019-05-31,-0.010813418656282117
2019-06-30,-0.0051401884532733255
2019-07-31,0.0069530509970333835
2019-08-31,0.01699905256472818
2019-09-30,0.015375851094983635
2019-10-31,0.029001174341725625
2019-11-30,-0.02157601924918052
2019-12-31,-0.015122807273927952
2020-01-31,0.041431244501980186
2020-02-29,0.009887546796008798
2020-03-31,-0.10191474199361919
2020-04-30,-0.001392683875865483
2020-05-31,-0.023591019157424214
2020-06-30,-0.013429393799395048
2020-07-31,-0.11341613121263078
2020-08-31,-0.0035301221519295142
2020-09-30,-0.018118627216065254
2020-10-31,-0.030820392125602857
2020-11-30,-0.05152094401748697
2020-12-31,0.05114969900580427
2021-01-31,0.005323071000826225
2021-02-28,0.15452356187892685
2021-03-31,-0.0038753646803099118
2021-04-30,0.007831328085902294
2021-05-31,0.03684435489730417
2021-06-30,-0.008220095777700658
2021-07-31,-0.05561580970925546
2021-08-31,0.014427091285240782
2021-09-30,0.049213083672768686
2021-10-31,-0.004103175057561567
2021-11-30,-0.026308205492618884
2021-12-31,-0.019805352264610644
2022-01-31,0.01978858255471938
2022-02-28,-0.013030526234149686
2022-03-31,-0.020713597055639278
2022-04-30,-0.13193737638244565
2022-05-31,0.02275986296391554
2022-06-30,-0.09396269355164763
2022-07-31,0.11703922641243573
2022-08-31,-0.0006113750483024913
2022-09-30,-0.09038600699212221
2022-10-31,0.012025877265266285
2022-11-30,0.012995551457371912
2022-12-31,-0.042749513681784826
2023-01-31,0.13345493954185947
2023-02-28,-0.01424835241648209
2023-03-31,0.050761930421358896
2023-04-30,0.0032647733415802445
2023-05-31,0.08371473443967596
2023-06-30,0.02329779735515629
2023-07-31,0.05961146893056728
2023-08-31,-0.014600031999943378
2023-09-30,-0.01123250000565091
2023-10-31,0.019528133036192774
2023-11-30,0.07726449282832577
2023-12-31,0.011209591179154696
2024-01-31,-0.0050393593475392615
2024-02-29,-0.014478452186434704
2024-03-31,0.03626530328465079
2024-04-30,0.012677835042309654
2024-05-31,0.0031560462237574735
2024-06-30,0.0030938711265475136
2024-07-31,-0.0346224630380203
2024-08-31,-0.029518704321047244
2024-09-30,0.02165430268754081
2024-10-31,-0.016879608062080456
2024-11-30,0.0025981054411659266
2024-12-31,0.014867698458548094
2025-01-31,0.035172559618126154
2025-02-28,-0.034651362232220734
2025-03-31,-0.05736082677977502
2025-04-30,-0.00033129790213490967
2025-05-31,-0.053691799712915295
2025-06-30,0.005817359342367143
2025-07-31,-0.027807903558532084
2025-08-31,0.008715802809208147
2025-09-30,0.04128004106138099
2025-10-31,-0.0070570642045826165
2025-11-30,0.00197367678375753
2025-12-31,0.021165873901929484
2026-01-31,0.018151912155789866
2026-02-28,-0.06360445653933636
2026-03-31,0.004956776760647125
2026-04-30,0.029011340534925108
