lag_rebals,lag_days,window_overlap,spearman
1,21,0.958,0.8657587156026856
6,126,0.748,0.6741313074520181
12,252,0.496,0.42649871716064613
24,504,0.0,0.04242872874766226
36,756,0.0,0.03916633526094712
48,1008,0.0,0.08859365765684782
