,value
ann_return,0.049229121156802044
ann_vol,0.10506715819302959
sharpe,0.4685490880638287
max_drawdown,-0.28146377342211604
hit_rate,0.5141509433962265
n_periods,212.0
turnover,0.4232018475258283
