date,delta_h,h_at_q2,spy_fwd_ret,vix_fwd_ret,spy_fwd_vol,vix_level,bh_ret,gate_leaky,expanding_med,gate_causal
2006-12-27,0.22417588454041373,0.32686831742686656,0.0019624736670564857,0.029631768819759152,0.07712199389245936,10.640000343322754,0.0019624736670564857,0.0,,0.0019624736670564857
2007-01-30,0.18499412795075948,0.32000232996170763,-0.01609638310675443,0.36702265804857026,0.1579961053827336,10.960000038146973,-0.01609638310675443,0.0,0.22417588454041373,-0.01609638310675443
2007-03-01,0.22213813480034347,0.3197493239947663,0.014506939707997546,-0.07751741106483001,0.14073359323158707,15.819999694824219,0.014506939707997546,0.0,0.20458500624558662,0.014506939707997546
2007-03-30,0.28999224726509565,0.31933176943074704,0.045902193441950345,-0.08032736307040489,0.07500761949244844,14.640000343322754,0.045902193441950345,0.0,0.22213813480034347,0.045902193441950345
2007-05-01,0.17279378372634535,0.3336814626273968,0.030798071659256188,-0.03464202052936738,0.08219442573691574,13.510000228881836,0.030798071659256188,0.030798071659256188,0.2231570096703786,0.030798071659256188
2007-05-31,0.2525748618211794,0.33953312654241413,-0.014728571147290204,0.21807320493731286,0.14700105894031332,13.050000190734863,-0.014728571147290204,0.0,0.22213813480034347,-0.014728571147290204
2007-06-29,0.2229334902437958,0.3281448882283185,-0.031811163625289574,0.3709897891714533,0.17260179912536572,16.229999542236328,-0.031811163625289574,0.0,0.2231570096703786,-0.031811163625289574
2007-07-31,0.21428937857040703,0.3188150527944938,0.005611481630948489,0.012254495575632962,0.2343023221894524,23.520000457763672,0.005611481630948489,0.0,0.2229334902437958,0.005611481630948489
2007-08-29,0.30152971403623885,0.2922203422599722,0.045123564430199714,-0.27973388017263545,0.14294097510099338,23.809999465942383,0.045123564430199714,0.0,0.22253581252206964,0.045123564430199714
2007-09-28,0.24453871636287416,0.30970528732986613,0.010107737727373944,0.09883934090376512,0.1400384388841278,18.0,0.010107737727373944,0.0,0.2229334902437958,0.010107737727373944
2007-10-29,0.14766335427636518,0.31159507719414775,-0.04648020708387701,0.19341561870843638,0.26647669158243437,19.8700008392334,-0.04648020708387701,-0.04648020708387701,0.22355468739210477,-0.04648020708387701
2007-11-28,0.1779396064251469,0.3364461333415576,0.0064481297696028506,-0.1505625257427532,0.1776261471887613,24.110000610351562,0.0064481297696028506,0.0064481297696028506,0.2229334902437958,0.0064481297696028506
2007-12-28,0.24741150716098165,0.3367120338523482,-0.08786350393824716,0.286475986600522,0.2127638501323052,20.739999771118164,-0.08786350393824716,0.0,0.22253581252206964,-0.08786350393824716
2008-01-30,0.1660594493390668,0.35172150778539907,-0.008112171039393878,-0.03988711496594188,0.18985694588301588,27.6200008392334,-0.008112171039393878,-0.008112171039393878,0.2229334902437958,-0.008112171039393878
2008-02-29,0.22402756515115752,0.34767910000034896,0.025572964149096045,-0.15716957108491947,0.29511246436191185,26.540000915527344,0.025572964149096045,0.0,0.22253581252206964,0.025572964149096045
2008-04-01,0.24176240869845894,0.37232227964886677,0.012006052554774271,-0.08701134640844366,0.1355907481066689,22.68000030517578,0.012006052554774271,0.0,0.2229334902437958,0.012006052554774271
2008-04-30,0.21398607484095805,0.37357560767619485,0.015002849928205997,-0.15358971831074575,0.1499704077352909,20.790000915527344,0.015002849928205997,0.0,0.22348052769747667,0.015002849928205997
2008-05-30,0.17342210485657372,0.3587827836437173,-0.08727578960714766,0.29508592811634937,0.1898914602647018,17.829999923706055,-0.08727578960714766,-0.08727578960714766,0.2229334902437958,-0.08727578960714766
2008-06-30,0.12097801615134357,0.40396906996234216,0.004288523490193263,-0.12149563030073462,0.21993067620071136,23.950000762939453,0.004288523490193263,0.004288523490193263,0.22253581252206964,0.004288523490193263
2008-07-30,0.07149233342347305,0.4020020344044602,0.012832157808849942,-0.08765444631592789,0.19815940010355945,21.209999084472656,0.012832157808849942,0.012832157808849942,0.22213813480034347,0.012832157808849942
2008-08-28,0.17046670254611312,0.39495895767383643,-0.15027551879016787,0.8773540855522639,0.4587262975273097,19.43000030517578,-0.15027551879016787,-0.15027551879016787,0.21821375668537524,-0.15027551879016787
2008-09-29,0.21554952433063385,0.4153605373734163,-0.17220941572037773,0.35992304786043494,0.9254738045178917,46.720001220703125,-0.17220941572037773,0.0,0.21428937857040703,-0.17220941572037773
2008-10-28,0.18714929694815974,0.40677565246183134,-0.052439026915830134,-0.19821786494909865,0.6868846271718589,66.95999908447266,-0.052439026915830134,0.0,0.21491945145052044,-0.052439026915830134
2008-11-26,0.16915757201594417,0.42369834572802756,-0.015340627389327288,-0.22396319272018417,0.4705616293079896,54.91999816894531,-0.015340627389327288,-0.015340627389327288,0.21428937857040703,-0.015340627389327288
2008-12-29,0.16736706393253242,0.4400817232498796,-0.02753058173046785,-0.029356099006585534,0.38992458128288937,43.900001525878906,-0.02753058173046785,-0.02753058173046785,0.21413772670568254,-0.02753058173046785
2009-01-29,0.2139727999995516,0.43273450447834316,-0.18031278707327258,0.21110801172893856,0.3597267925204238,42.630001068115234,-0.18031278707327258,0.0,0.21398607484095805,-0.18031278707327258
2009-03-02,0.10989636554482335,0.4627532668104963,0.1261101572818082,-0.17629988056057933,0.4501170666464697,52.650001525878906,0.1261101572818082,0.1261101572818082,0.21397943742025483,0.1261101572818082
2009-03-31,0.1390764194492125,0.44064350502054145,0.09471576465139364,-0.19005412641251462,0.2949178914518768,44.13999938964844,0.09471576465139364,0.09471576465139364,0.2139727999995516,0.09471576465139364
2009-04-30,0.11483039412073232,0.45660159624376045,0.0807290924437476,-0.19478240321557028,0.27743967912555767,36.5,0.0807290924437476,0.0807290924437476,0.20056104847385567,0.0807290924437476
2009-06-01,0.03908090358409033,0.44152849246990683,-0.024575488162723147,-0.13106156790847523,0.18492715759026213,30.040000915527344,-0.024575488162723147,-0.024575488162723147,0.18714929694815974,-0.024575488162723147
2009-06-30,0.08570440168064242,0.4925689445590909,0.0705360420393708,-0.036719130458402915,0.20304704481553731,26.350000381469727,0.0705360420393708,0.0705360420393708,0.1860717124494596,0.0705360420393708
2009-07-30,0.044977330288190565,0.4014491201543284,0.04663060783090689,-0.02551970194558617,0.15959466535170427,25.399999618530273,0.04663060783090689,0.04663060783090689,0.18499412795075948,0.04663060783090689
2009-08-28,0.1127229732881031,0.4632912378808875,0.0297796127058243,0.017217654505282898,0.15479396634345832,24.760000228881836,0.0297796127058243,0.0297796127058243,0.18146686718795318,0.0297796127058243
2009-09-29,0.02748836685792161,0.3995319022234529,-0.015113542816938441,0.10253793051539617,0.1766608571275462,25.190000534057617,-0.015113542816938441,-0.015113542816938441,0.1779396064251469,-0.015113542816938441
2009-10-28,0.0171341332851771,0.4163456873906303,0.04823804394571951,-0.12056368436823739,0.19815872519367617,27.90999984741211,0.04823804394571951,0.04823804394571951,0.1756808556408603,0.04823804394571951
2009-11-27,0.019557745846425,0.4037006267894556,0.03229207271241652,-0.2121891976788386,0.10000705824995602,24.739999771118164,0.03229207271241652,0.03229207271241652,0.17342210485657372,0.03229207271241652
