,return
2006-02-28,-0.03341785674183324
2006-03-31,0.0015164286614828618
2006-04-30,0.005339206981062321
2006-05-31,-0.10029159617386849
2006-06-30,-0.02344696261370973
2006-07-31,-0.08038524116963944
2006-08-31,-0.05205061930056394
2006-09-30,0.027281525344537996
2006-10-31,0.0008951130785693345
2006-11-30,-0.0041572057236996494
2006-12-31,0.014783567077686023
2007-01-31,0.028487009369784162
2007-02-28,0.005008071790914174
2007-03-31,0.02864152948382162
2007-04-30,-0.0012435707192536213
2007-05-31,0.017987089337088705
2007-06-30,-0.0013946778799550554
2007-07-31,0.02987681447917874
2007-08-31,0.01436324324122815
2007-09-30,0.029352218016807072
2007-10-31,0.03483302539277725
2007-11-30,0.0538699876405408
2007-12-31,0.11062559595238339
2008-01-31,-0.16899016643625345
2008-02-29,0.047319751543458646
2008-03-31,0.03989933929947813
2008-04-30,-0.002578334210296754
2008-05-31,0.0662268357950699
2008-06-30,0.07968352921453176
2008-07-31,-0.035624581593241826
2008-08-31,-0.06006821780064529
2008-09-30,0.05326524671105931
2008-10-31,0.12683286725456858
2008-11-30,0.08970099296087336
2008-12-31,0.013589872969886244
2009-01-31,0.029682057225123085
2009-02-28,0.10976816446628469
2009-03-31,-0.18561033742939811
2009-04-30,-0.2822265761124737
2009-05-31,-0.07669617633868517
2009-06-30,0.10194269297122313
2009-07-31,-0.019885344438838784
2009-08-31,-0.1500893797362618
2009-09-30,-0.018440845824654283
2009-10-31,0.08733568443332196
2009-11-30,0.06137597797523034
2009-12-31,0.06644881629494637
2010-01-31,-0.06574429269877974
2010-02-28,0.02989160684987952
2010-03-31,0.04996106187962966
2010-04-30,0.04532038234522212
2010-05-31,-0.011457952596175408
2010-06-30,-0.018932967135055975
2010-07-31,0.025892415621573475
2010-08-31,0.010962280901550128
2010-09-30,0.03601248179618473
2010-10-31,0.02198848624295148
2010-11-30,0.048302705132850295
2010-12-31,-0.03782068108939677
2011-01-31,-0.035513786273381434
2011-02-28,0.021448579546579034
2011-03-31,0.025557601840665235
2011-04-30,-0.006443177444582067
2011-05-31,0.008196133039737832
2011-06-30,0.012922277783987895
2011-07-31,-0.019759881668095454
2011-08-31,0.020143502953089185
2011-09-30,0.022661106589128538
2011-10-31,-0.08602145801748758
2011-11-30,0.07713619866255404
2011-12-31,0.02098211480639402
2012-01-31,-0.12610654411174238
2012-02-29,-0.0324287928593888
2012-03-31,-0.010461435609428624
2012-04-30,0.0972174018909962
2012-05-31,0.06984366809604593
2012-06-30,-0.002167800723976803
2012-07-31,0.0395327255688888
2012-08-31,-0.05543284378532367
2012-09-30,-0.015560264139970498
2012-10-31,0.018338372888882234
2012-11-30,0.016049247908667564
2012-12-31,-0.014686827072491186
2013-01-31,-0.003285384801660275
2013-02-28,-0.002106729793237576
2013-03-31,0.0015865060661687247
2013-04-30,-0.0023708787618041127
2013-05-31,-0.01858545992046289
2013-06-30,-0.021010811482545296
2013-07-31,0.04328121702813625
2013-08-31,0.005672958019782966
2013-09-30,0.028615197908012126
2013-10-31,0.02243354024537362
2013-11-30,0.030600727637959603
2013-12-31,0.005996972787925155
2014-01-31,-0.007650097583025782
2014-02-28,0.028308008772912244
2014-03-31,-0.052240185880599574
2014-04-30,-0.059251732429831325
2014-05-31,0.04897372669453497
2014-06-30,-0.0018566723192132463
2014-07-31,-0.0036547168183086527
2014-08-31,0.011596058665968467
2014-09-30,0.0010214868508159236
2014-10-31,0.021702818086142935
2014-11-30,-0.012968867092057301
2014-12-31,-0.002365936749951912
2015-01-31,0.0108247783342709
2015-02-28,-0.03110617277478748
2015-03-31,0.01442302516071733
2015-04-30,-0.01950884940874372
2015-05-31,0.03293222407359759
2015-06-30,0.02497108388377211
2015-07-31,0.07232572770346903
2015-08-31,-0.004569236629804942
2015-09-30,0.023700063393356348
2015-10-31,-0.0028226128460615008
2015-11-30,0.017253375255341853
2015-12-31,0.018954626414481826
