ticker,n_days,H_dfa,H_rs_implied,rs_rejects_null,ann_vol
AVGO,4199,0.3960413041328247,0.49893073968272045,False,0.3784064203543675
MDLZ,5355,0.3993594248091451,0.5249055246127062,False,0.2084831297529428
ABT,5355,0.41168057666907065,0.5184084795351981,False,0.2192392926353652
DUK,5355,0.4122808453067482,0.47384567066478744,True,0.19793601749716086
ORCL,5355,0.4149110552193947,0.5138953386785291,False,0.3095444258995377
LIN,5355,0.4150204684825557,0.48787276146751685,False,0.24620751674857097
CL,5355,0.41570531685821555,0.4747414999333548,True,0.19043405757343757
SO,5355,0.4176516102615161,0.4554592126226068,True,0.1925321603411768
V,4548,0.4177652550111711,0.5067380791288681,False,0.2838950660975592
NKE,5355,0.4185968056119374,0.5548570481690038,False,0.2974769076929883
MCD,5355,0.42014005259672044,0.4669318915578385,True,0.19926362317588897
JNJ,5355,0.4207496937757031,0.48645280296924787,False,0.17185436511295082
PEP,5355,0.42365624376754774,0.49596017372205903,False,0.18287437243683136
LLY,5355,0.4280273265495289,0.5400867438551797,False,0.26295518953340524
HD,5355,0.42862801367050996,0.5559246366559659,False,0.25966195689823074
LOW,5355,0.42926974432645515,0.5253538756895942,False,0.29866413465094943
MET,5355,0.42976484481666977,0.5069986448288539,False,0.4027534257269703
KO,5355,0.4298315314590327,0.4746421678148853,True,0.18084312110115489
ACN,5355,0.43177428578089594,0.5408217015839096,False,0.263377209377218
NEE,5355,0.4323850818759992,0.4867592712460155,False,0.23892816411113865
AMGN,5355,0.4331624365484737,0.5037666495075379,False,0.25875375723716604
BK,5355,0.4336540156381038,0.5109845183900856,False,0.348446236140284
JPM,5355,0.4337742527334634,0.49835105690836917,False,0.35566926526820125
UNP,5355,0.4373847505819988,0.5048234781057052,False,0.27691944898341586
UPS,5355,0.4394894656474907,0.5428891742681882,False,0.24806980223982045
UNH,5355,0.4395444032502875,0.5512622526385679,False,0.3211863562748858
WFC,5355,0.4413410497469495,0.5060263284782636,False,0.3929920863887059
AMT,5355,0.4414072289532012,0.5143548995729471,False,0.2728576161802414
WMT,5355,0.44228547485194075,0.5170342420664414,False,0.20406631609260992
MO,5355,0.4440336930493396,0.5223130872749181,False,0.21072920922249494
ABBV,3342,0.4447966763302051,0.49437405302461174,False,0.2648848476767077
DHR,5355,0.4460227901788963,0.5451421472573607,False,0.2650600839553356
QCOM,5355,0.44622378857796513,0.48333075998403846,False,0.3429881575993458
COST,5355,0.4462605700048691,0.5155066752077867,False,0.22344573834802275
MSFT,5355,0.44691613606828123,0.5388665531368817,False,0.2706267686541691
CVX,5355,0.4471034052934238,0.5142773700821686,False,0.2826404816720821
GILD,5355,0.4478274002745831,0.5391857029852644,False,0.28814477999848265
PG,5355,0.4480646218854647,0.5046676112083311,False,0.18122972121874784
CVS,5355,0.44872759852443395,0.5193835648904935,False,0.27571944130455717
VZ,5355,0.44887941571647627,0.4854936450030749,False,0.20715314820764164
USB,5355,0.45023460220919326,0.5124579252604406,False,0.33671611574472715
BRK-B,5355,0.45025192204780873,0.49995176844604367,False,0.20960603303222003
PFE,5355,0.4519029563307834,0.5505804215553937,False,0.23351462397449108
LMT,5355,0.45264816090790305,0.499088653654002,False,0.2297307274661843
IBM,5355,0.4527038354719508,0.5067629208453178,False,0.2368273528222548
INTC,5355,0.45291421440518825,0.500103351672073,False,0.3591075220256668
CMCSA,5355,0.4580193379068655,0.5505827588491887,False,0.2804954577037606
BMY,5355,0.45883166522884267,0.5079252249575186,False,0.2452537216903266
