date,H
2016-01-31,0.45730099603240315
2016-02-21,0.4848562319839594
2016-03-13,0.4875674374825728
2016-04-03,0.5007723250474035
2016-04-24,0.5076341387910863
2016-05-15,0.48224094388611594
2016-06-05,0.5064782444521879
2016-06-26,0.5324493227670406
2016-07-17,0.510028929418743
2016-08-07,0.5146379681203515
2016-08-28,0.526605358931876
2016-09-18,0.5356425960888406
2016-10-09,0.5025948084319052
2016-10-30,0.5560838930609957
2016-11-20,0.5140748678121673
2016-12-11,0.5518467439112315
2017-01-01,0.500755423577164
2017-01-22,0.4985988595992353
2017-02-12,0.48777040764482765
2017-03-05,0.48359297909367777
2017-03-26,0.5082114094262944
2017-04-16,0.45334595758844315
2017-05-07,0.46870145192079515
2017-05-28,0.5057480506664991
2017-06-18,0.47858828701186357
2017-07-09,0.46990055023400656
2017-07-30,0.4610884898210904
2017-08-20,0.49209280202354727
2017-09-10,0.49185672028700334
2017-10-01,0.5222405269170589
2017-10-22,0.4827384737746145
2017-11-12,0.5309267446805764
2017-12-03,0.5258863230522489
2017-12-24,0.47509430433984146
2018-01-14,0.4826562673106504
2018-02-04,0.5219805662115871
2018-02-25,0.5529636972061815
2018-03-18,0.5460249298077786
2018-04-08,0.5292070244570833
2018-04-29,0.5581984819584205
2018-05-20,0.5227427787902548
2018-06-10,0.5726733643107409
2018-07-01,0.5862625725374132
2018-07-22,0.5792522724882193
2018-08-12,0.5456594883802686
2018-09-02,0.5665855882631566
2018-09-23,0.5613627390226997
2018-10-14,0.551866705506301
2018-11-04,0.5878061517944744
2018-11-25,0.56812355911601
2018-12-16,0.5741665803998598
2019-01-06,0.5724593104580623
2019-01-27,0.5227891060074258
2019-02-17,0.5543636077107151
2019-03-10,0.6328406356462869
2019-03-31,0.6488239856860947
2019-04-21,0.5222315271195782
2019-05-12,0.5317387473136218
2019-06-02,0.5513239787520436
2019-06-23,0.5556611807215713
2019-07-14,0.5505741389552392
2019-08-04,0.5409319649314045
2019-08-25,0.5183639921815568
2019-09-15,0.5434894826471953
2019-10-06,0.545706124625775
2019-10-27,0.5068450086678531
2019-11-17,0.511756873107298
2019-12-08,0.4919997962499008
2019-12-29,0.5063077565312697
2020-01-19,0.5273673012448636
2020-02-09,0.5181194152733933
2020-03-01,0.5360931859865941
2020-03-22,0.5185822108295072
2020-04-12,0.45534485371259525
2020-05-03,0.4781557486947469
2020-05-24,0.5065213366052056
2020-06-14,0.5321711306903845
2020-07-05,0.4991346400395681
2020-07-26,0.5154605263593266
2020-08-16,0.48921901317705124
2020-09-06,0.521337907837823
2020-09-27,0.5305185519309843
2020-10-18,0.5721999777254243
2020-11-08,0.5092455628551528
2020-11-29,0.5801357244364999
2020-12-20,0.5377848130434008
2021-01-10,0.5325144652248136
2021-01-31,0.5311097068169864
2021-02-21,0.55758707978099
2021-03-14,0.5348040018010145
2021-04-04,0.5153610227938532
2021-04-25,0.5405968904395756
2021-05-16,0.5591949460808746
2021-06-06,0.5416872844495582
2021-06-27,0.5513353420369359
2021-07-18,0.48179502664435353
2021-08-08,0.5188421183619261
2021-08-29,0.5433617144180175
2021-09-19,0.5023967512718645
