,gbm,momentum_baseline
ann_return,-0.010335929748416982,0.013662905083264586
ann_vol,0.13922457094548404,0.18450897582409634
sharpe,-0.07423926450787344,0.07405008359208641
max_drawdown,-0.4437550275804323,-0.5156568186640884
hit_rate,0.4689265536723164,0.5506072874493927
n_periods,177.0,247.0
turnover,0.5750617631422585,0.24151788086508316
cost_bps_per_side,10.0,10.0
