Date,AAPL,ABT,ACN,ADBE,AIG,AMD,AMGN,AMT,AMZN,AXP,BA,BAC,BKNG,BLK,BMY,BRK-B,C,CAT,CL,CMCSA,COF,COP,COST,CRM,CSCO,CVS,CVX,DE,DHR,DIS,DUK,EMR,F,FDX,GD,GE,GILD,GOOG,GOOGL,GS,HD,HON,IBM,INTC,JNJ,JPM,KO,LIN,LLY,LMT,LOW,MA,MCD,MDLZ,MDT,MET,MMM,MO,MRK,MS,MSFT,NEE,NFLX,NKE,NVDA,ORCL,PEP,PFE,PG,PM,QCOM,RTX,SBUX,SCHW,SO,SPG,T,TGT,TMO,TMUS,TXN,UNH,UNP,UPS,USB,V,VZ,WFC,WMT,XOM
2006-12-27,0.5089951067869812,0.4398742222018349,0.4103717501680706,0.5112206583117439,0.6051854051691229,0.4975707442942708,0.5461880291847303,0.5082364974852529,0.5201856386755551,0.36374959754367975,0.3962769519892202,0.5483954170981836,0.48913409987557616,0.495211245928938,0.5713613984256772,0.47256991440248897,0.508878625996321,0.41601579640304226,0.45483334626574223,0.4335638044629224,0.510293689706512,0.5303946419795783,0.46242408218217,0.5841210041179687,0.4773854163529243,0.4017588787617039,0.5718662055233559,0.4970345149357288,0.4457821372857843,0.46532754237577756,0.41938443269991493,0.39241468334714635,0.441792054276813,0.5250715294771805,0.41978028382841015,0.43930281578950414,0.33499749702281834,0.5837351297061498,0.5837349067336786,0.4962015013319182,0.4852964436260239,0.5048485459109661,0.5670284066034134,0.5195866375694157,0.42345029933467226,0.49497308800755474,0.4167951728304339,0.4124286181305438,0.5515429427183698,0.52054705081382,0.44571722453856477,,0.4370754910777041,0.39811952731291006,0.4164685743099248,0.36545054972333335,0.5511586028196442,0.4232068725124762,0.4627481465220971,0.48852153177214014,0.5219710786740898,0.46131897074027695,0.4942918275725591,0.5007103017989738,0.6120771833457033,0.4503962724856327,0.4696746656393592,0.5027972274130764,0.44412820615654175,,0.46079948852711206,0.3638107120770822,0.5888373342123812,0.44982433664831906,0.4457260961109119,0.45502534206332573,0.46869062065197736,0.5023205055488428,0.48727896883353283,,0.5286856700151967,0.36530281445230817,0.4647663131037989,0.5626156531158643,0.42316288354466436,,0.48381185547284355,0.42613037865495185,0.5260005955355334,0.5603102069931675
2007-01-30,0.42777383710474104,0.45506453923165513,0.4213338426251688,0.4896201668005567,0.625393493493471,0.5382434388160913,0.5498738918777527,0.5112962686281216,0.46750631590584674,0.40410580957792847,0.4151880988669495,0.5453688325005064,0.4917855823421775,0.5002707605629798,0.5129988646832898,0.4373428782249148,0.517447372231921,0.4295560088259048,0.3761391550925117,0.48768144478115766,0.5348117611941072,0.5149306303312889,0.456689128667945,0.5550162605205601,0.4668084666747628,0.42815668361972664,0.55114172334937,0.5016678326949754,0.46392631348377505,0.4359571031479506,0.4236987871967328,0.3836767359801368,0.46334453265236464,0.5102106842815494,0.4103343634470625,0.4454407389994272,0.3398676131594629,0.5910884977057814,0.5910883000884569,0.4386570300499074,0.49938176296796133,0.4501441632113526,0.5943578649270307,0.5012667426664412,0.40251127059121966,0.48078095693814366,0.42398723466203786,0.4084610776296203,0.5701072299297116,0.48549776533251504,0.4929649261734512,,0.40319538844377767,0.403713364464135,0.3886434345087428,0.3856102326818692,0.5817441201275029,0.4234394290410468,0.4974573487072327,0.44419878531201606,0.529726748988113,0.4679505952486714,0.5048172004481842,0.5103026199394256,0.5546091108881004,0.4774765132414177,0.4924951055368715,0.4643588064291096,0.3919807959458732,,0.4422884068222763,0.39748027774462946,0.5542170312851276,0.44205372372668966,0.4638780751774815,0.4769780372837847,0.4555732085666666,0.5345226971642765,0.4707587205034123,,0.4963910007133459,0.3924875004342548,0.44467345891879817,0.5249438089210702,0.46993121757118184,,0.46355490738976424,0.441098028330858,0.5755266768430177,0.5130552729121247
2007-03-01,0.4521745495454762,0.5107695116183523,0.4562200248246718,0.4963823657849839,0.6557606923739002,0.5281212694100379,0.5548492420120796,0.5561010880503661,0.5649362483407326,0.3986895422386254,0.44789413466848943,0.5305146815141695,0.5121462934069079,0.510905184838919,0.576806252800133,0.46052145050444737,0.4971688435934332,0.4713574859728446,0.4045169921054575,0.44781434276306664,0.5549120969549538,0.4809567289418746,0.45769703104829373,0.5564650911752103,0.47417196821918217,0.48717633868100524,0.5227159567841935,0.5147947693882723,0.4682433561752834,0.43375421280688947,0.4388217021744694,0.39339478643566067,0.4706136992234788,0.5297844103837414,0.4193185325380717,0.4574130077085317,0.31709316905830687,0.592326859146553,0.5923266958244667,0.46967952627883325,0.4800847581305438,0.4852918714001514,0.6276149410159938,0.5331519814470563,0.4077981102005231,0.48280459249492486,0.4421085926042516,0.3995372900181899,0.5851427088048234,0.554858841618474,0.4878886843477746,,0.43262703377227635,0.3924701173834291,0.4295879125392276,0.36901833227296443,0.557357026795429,0.4477079983490945,0.5147906517089708,0.5072128328408172,0.5445649799105713,0.4682338436142104,0.48799376220116825,0.5353736614005464,0.5855993532841305,0.49966045032942324,0.49501637789978326,0.5283920993626017,0.4345306897156131,,0.43405496290329454,0.3806045015561535,0.616150510268706,0.4417184339868512,0.4374361047296639,0.45203032825837647,0.5126668160749257,0.5346604715069136,0.49962796018323546,,0.5109218269046563,0.4103068221023053,0.4093587852645922,0.6358603165770227,0.4556939657251973,,0.4988444434550616,0.4265736657002928,0.5579163416368461,0.48575386906678014
2007-03-30,0.4908740588695363,0.458507899989791,0.414246906020554,0.47850987796775074,0.4677808115975293,0.5562724012582332,0.5335467949228996,0.49077162866541024,0.5240480012350646,0.3212535658981271,0.42194130831974896,0.5191348156534357,0.4805846119241936,0.4692598308170776,0.5102731702543426,0.455099336594228,0.514903631795596,0.4186670505355181,0.41858766828328947,0.46480959291824997,0.5210386140503231,0.5055496787335886,0.47216451405475074,0.5774935016170201,0.49821909142025467,0.4407899433173433,0.5011226904545717,0.45465809299813265,0.41010016334215854,0.42707625306005237,0.43754861695427216,0.35680258936415143,0.4544266907272475,0.4479674891878357,0.4175965705780189,0.5051936470773201,0.3526826961381998,0.6110547430194849,0.6110547102917667,0.46700963131540857,0.454263327331007,0.4270876290504972,0.588507136193013,0.5242749979197637,0.42659145798888143,0.4476152806864193,0.4559953422151756,0.3808802113318236,0.555549277806409,0.5190394571425336,0.4120688915136532,,0.4216044665395127,0.4088544691378463,0.41438432283795457,0.3456950986499598,0.5429709062668754,0.4293934764924646,0.42577435019772564,0.4506986062706398,0.5341874007610014,0.4508898324975184,0.43596622631242865,0.48517061287550994,0.5327407016590967,0.4473234977390873,0.45935949997444,0.5219619770432679,0.3950717022881118,,0.4154043138200197,0.3963657597833764,0.5234223196288008,0.4044917484647695,0.4144909555746798,0.43664663774575446,0.4737806221972621,0.5138557640189313,0.44741595894029046,,0.4478490970411828,0.4475552167404582,0.3536168410801768,0.5304666523045308,0.4414803143204903,,0.4855009999883411,0.4131319912491464,0.540141326328559,0.4949601754638411
2007-05-01,0.4882185092313983,0.4787414032901797,0.3937393288281437,0.5128498391011769,0.49174955063370956,0.5525766263373909,0.5724804995913648,0.4857160902123442,0.5166241384034718,0.37638167549950596,0.437112497444855,0.5084415483526152,0.4691680428267953,0.4959041163681094,0.5490614681505264,0.41591636985842906,0.5100213468654012,0.407675344475805,0.3543739104140548,0.4423072175465129,0.5271148874729289,0.5067213583971862,0.45266998124216357,0.5856596385263871,0.4830287610257457,0.46196674985604613,0.48652936669980656,0.49020963511464194,0.41760438685945195,0.4119412501444061,0.4450887465220153,0.38721656165395313,0.46612610293758916,0.4915981279701006,0.424999760284404,0.5101598487065797,0.3596363318441607,0.5846246849695416,0.5846245895235955,0.4394556013498938,0.46255775637314456,0.445915383700285,0.5295442768971685,0.5286538682822918,0.44396115698361577,0.4701943239481539,0.4392122990296501,0.39311585227857787,0.5478951384039725,0.5257787993269863,0.427694867813896,,0.44763010585927626,0.43167421630758385,0.4524497184334708,0.347501664880141,0.5679727884945858,0.47713607642992134,0.43282603615903753,0.4363690867579232,0.5120706754052748,0.433619698306653,0.46212565975763026,0.5103856918592532,0.5610201273791852,0.4879992204156752,0.4502147141485925,0.5184845524938366,0.40350790550786625,,0.4235707898052508,0.40913796279973924,0.5280931245223819,0.43421598467804895,0.4391880511126004,0.4608992185223497,0.48395823110574426,0.5344340538626626,0.45692135991370186,,0.480863163151134,0.4179555255780004,0.3799249620002135,0.5867333484445556,0.47099460427102746,,0.4801811214210012,0.39652880074335123,0.5247587746621256,0.49987313036572617
2007-05-31,0.4580196120852778,0.4550956259429112,0.4223969799303267,0.49954107899362793,0.5048449230065002,0.5640738819623868,0.5749927149951908,0.4800419908701722,0.517830689140202,0.40962366653712856,0.4160880073289534,0.506312484732811,0.4854601083797271,0.5180967231762785,0.5393980710397888,0.47586281898177474,0.5273379262911673,0.43244956068356055,0.3810337434946935,0.4846071481214632,0.5229285407153573,0.5110265234913663,0.46642572914044583,0.5701587190626176,0.4660039693946865,0.45404263790533766,0.5216465268266213,0.47902717937303835,0.41925967298794814,0.44604617301135263,0.45835051651669606,0.39321332834795203,0.47350452665807824,0.4968680576373327,0.4339504405970239,0.49626811685618466,0.3902411784008725,0.5660784200278772,0.566078352452688,0.44703739146501476,0.4819303279202522,0.46905865344279485,0.5694450794818251,0.4954527023884997,0.4551313419240545,0.49181788677458627,0.45502532938176754,0.41789282918146103,0.5549685464733523,0.5047981515282319,0.4563700369194302,,0.4068117869490288,0.4451501919302688,0.445980078054318,0.36430913884674043,0.5987921985821529,0.47839602501985923,0.457255725581796,0.4690794734975387,0.5426722422297086,0.45111717941435264,0.4721685907998292,0.4600252994089033,0.5429889298789689,0.4609764826594958,0.4793694899437193,0.4998386667945556,0.4100256751713634,,0.42376859140349515,0.4106271521074688,0.5202975085609739,0.44405396768635813,0.42364926191980407,0.47111863627541567,0.479351498520478,0.4753328713559382,0.4800925473764583,,0.49700821944791407,0.40892810963793014,0.3946682429606159,0.507715090243467,0.4648961223990471,,0.5064409149012526,0.409431082173875,0.5549700099848692,0.5099565779614145
2007-06-29,0.44726907215511585,0.44226086957890987,0.4168269342441345,0.4906323629733578,0.48721742413155195,0.5458416022898589,0.537596522125099,0.44786830676178363,0.5183000754679192,0.417693145387392,0.4399357976586083,0.5313246784949065,0.5089460075972255,0.5185464028018685,0.5462168543722657,0.4589244432023548,0.5113903821603898,0.43061914135356905,0.40521086727072825,0.47561980596859793,0.5246181899555721,0.5097749386501255,0.485693173087199,0.5518256426463759,0.4385111660655525,0.451342040772456,0.5182878266550703,0.483005752168812,0.42059925985333385,0.4350513559681071,0.43427946493393543,0.400365714454497,0.46823629858096943,0.5256988852992107,0.4075551897220461,0.505880949503781,0.4085020220881663,0.5706499616467038,0.5706498510906519,0.44027885113993426,0.4632976909870995,0.508673872573575,0.5141400354148657,0.502705854361712,0.45719776603613665,0.5234776326221325,0.4406537481087276,0.43239455684171707,0.5296536082524567,0.4806428734407198,0.4232781453438105,,0.3984596609454566,0.4649401100980946,0.49364108608789287,0.37034435219622874,0.5781497451701795,0.4595294182584551,0.49668993271200607,0.4534763845966239,0.5628084256379107,0.4485345111368364,0.45839574236102915,0.46376619296042654,0.5402248687417865,0.45953673801385947,0.43684288193406373,0.5047034933524384,0.4021872204251416,,0.37679588159028593,0.40748740995089944,0.5630638912094164,0.4219232814400413,0.4191364757756847,0.4467001661559126,0.4942375315771199,0.46555961825446796,0.4829672500067713,,0.4653761794878905,0.379259761775208,0.41367028607118456,0.5828138642252388,0.4602200518718961,,0.5072322875638658,0.4364046491580185,0.5268141660031076,0.49425496123084406
2007-07-31,0.4371765586496101,0.4675429088183853,0.40865589954660414,0.4098566419819413,0.4946136510161312,0.5338331196766349,0.5027797847653244,0.45656941994326,0.518738673181724,0.40885315279360435,0.4378087061653714,0.48696164828434607,0.4971378517564123,0.5086901764565059,0.5005057294306507,0.4584400257477668,0.4906476291176437,0.4332703088366256,0.3580643967251872,0.45733209604824804,0.5169502067377623,0.5046074956014209,0.4659468347639563,0.5343996746695979,0.464571087277318,0.47322077036816745,0.5190229770806332,0.4836299282669924,0.4328658996450929,0.42888083566438673,0.4732253740056569,0.405585110632911,0.42754012536215885,0.5222706624787115,0.41340603493379074,0.4778993624529606,0.3718096448791897,0.5400903184571659,0.540090238534661,0.43891187659024317,0.4626646781295266,0.5189418858556629,0.5166183080940756,0.49676864770574947,0.47589051889635026,0.5302136868443503,0.43307785640030466,0.46687493406954583,0.5795483803427595,0.48149228094157204,0.4149839745171901,,0.34891563963399147,0.4289060639178546,0.4419035944228961,0.3753853273640329,0.618402591367662,0.46132393469183935,0.5185806864916099,0.4347509838713756,0.5293602753401955,0.4949414021066271,0.4790527377858811,0.4142670639278964,0.5420793204543143,0.44203906288828093,0.46929576225141767,0.508568526950989,0.3890085611112529,,0.40067490892046376,0.41370752028650915,0.5306638782049624,0.4181384560919511,0.4458278786888854,0.43596181726295613,0.46915089555896106,0.4378753056401083,0.46649044676225115,,0.4669451589699441,0.4086473182071523,0.4269131132593886,0.5372678032857505,0.467396071926384,,0.5102072197616632,0.43455789889028784,0.5373259600236417,0.5217977472753708
2007-08-29,0.4573195869590806,0.4560195627603964,0.3991570348239872,0.43712081153461535,0.48963651644087225,0.5355719663006888,0.5218094193468872,0.4726807804888918,0.49340003944002275,0.39110667161536394,0.45407611923455804,0.47493254044206606,0.4590940700481972,0.46128937642253104,0.5547498039345997,0.4290072419597016,0.4375006482635632,0.47431713426320715,0.34897425981444485,0.46545922990649574,0.5036200672603746,0.49964759692075245,0.41324720605643245,0.51387051158207,0.4398340031015239,0.4829077531476858,0.5084346876992352,0.45579695195560826,0.3746464426760856,0.38197592574177974,0.4534621572172383,0.3663132219414574,0.4792032895425785,0.4793820881361541,0.39853692434789595,0.44624321547336077,0.37023735348596937,0.5489396880672507,0.5489395987887347,0.46616488236571485,0.43302042915052036,0.5385209487167281,0.4814364525859876,0.4931290209036946,0.4555623312224498,0.4832937027180809,0.4615270635902097,0.35750510961178456,0.5768481591083826,0.46604519846890974,0.4031664499858862,,0.3818136578971763,0.43513075413835445,0.46927725215083127,0.359501244208122,0.5993620762685392,0.47838769386441515,0.5258760085715329,0.4231560928245725,0.549199672690986,0.40532163468378596,0.43427748892169227,0.3852988953656337,0.5438091229063792,0.4428440711564783,0.4452282166435325,0.5440947789654746,0.39595882915919317,,0.41012808532993367,0.40295169300226374,0.5058253079980962,0.4061335634589945,0.41209850400048476,0.47062816339827895,0.47450722244569343,0.40736293347643143,0.4566435930079513,,0.5025297557468029,0.4144604223207141,0.4022050910177557,0.5092985309958027,0.3814495218637028,,0.5149617144124978,0.3603763671223324,0.4707960970402597,0.5040627814231936
2007-09-28,0.5171010363013533,0.47108595521563734,0.41046842393458727,0.4800294837084692,0.49940276063709677,0.5077299073088628,0.5127649247788951,0.46275796438193134,0.535963289952697,0.35027808369637636,0.43447462532274406,0.46310734327456554,0.401312596004045,0.4647791683646799,0.5233324713102955,0.4543972189549692,0.4862218076274655,0.4294829825049598,0.3566676462773264,0.469193704920195,0.47725971531706396,0.5093833682414173,0.39654408522480916,0.517962904994446,0.43006576090798254,0.41508537608735707,0.5054768500495744,0.4122819383361572,0.34624200973769553,0.3901295477219731,0.3919531753341342,0.3648572594679701,0.462000238051292,0.4717967690032658,0.4214667805761777,0.4527821108965344,0.3596701971419832,0.6154105753327259,0.615410412157699,0.47071178843212685,0.40323315468064846,0.5097045482427471,0.5378817593900935,0.5188434455244395,0.47558501523976704,0.458103788888926,0.4284111339071045,0.3597688041251894,0.5451693084763748,0.4420653883207463,0.39454808473610653,,0.39241697457289093,0.48588777089917645,0.4709020070845304,0.3382641791979595,0.5702321851295281,0.4549779447791714,0.44345541522700344,0.42521220641330987,0.5722180471617754,0.43058238200273496,0.44638278703296486,0.39846915150266626,0.5585737779046069,0.40530302188697503,0.44557671771004054,0.5509987794628093,0.4296923434035893,,0.38069041126093534,0.4035623308643341,0.4948893796368855,0.40346018328008937,0.41235005669594876,0.38722779338730445,0.4144124924570501,0.410035804957255,0.4811483926295049,,0.49331423288728055,0.43181319754034636,0.3808792267622476,0.5208731552091364,0.3584201859076049,,0.5170786176256816,0.34705786084523876,0.498018362409093,0.4852802592355802
